,a Strafe Fighter10 Fokker DR.1,a Fighter10 Sopwith Camel F.1,Gun AT10 57mm AT Gun,Inf10 - Machine Gun,Hovercraft 1,Gun Artillery10 Artillery,b  AA10 Gun 88mm,10 AA - Tank,Inf10 - Trench Mortar,Tank10  Mk V,s10 Cruiser,s10 Good Hope Frigate,h1-10 DeVerran (heal),Inf10 - Doughboy,s10 U Boat,b  Tank Obstacle,a Bomber 10 Gotha,s10 Naval Mine,Tank10 A7V,s10 Dreadnought Battleship,b  Guard Tower - WW1,Gun Siege10 Howitzer Cannon,Inf10 - Grenade Launcher,Inf10 - Sniper,h2-10 von Richtofen (Morale),a Catalina,Inf10 - Radio Man
a Strafe Fighter10 Fokker DR.1,0.45,0.45,0.7,1.0,0.75,0.33,0.11,0.11,1.0,0.35,0.75,0.75,0.5,1.0,0.0,0.15,1.4,0.0,0.35,0.75,0.15,1.0,1.0,1.0,0.5,1.4,1.0
a Fighter10 Sopwith Camel F.1,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0
Gun AT10 57mm AT Gun,0.0,0.0,1.75,1.1,1.0,1.5,1.0,1.0,1.0,2.65,1.0,1.0,1.0,1.0,0.0,0.4,0.0,0.0,4.5,2.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0
Inf10 - Machine Gun,0.0,0.0,1.25,2.1,1.0,1.5,1.0,2.0,3.0,1.0,1.0,1.0,1.5,3.0,0.0,0.2,0.0,0.0,1.0,1.0,0.5,1.5,3.0,3.0,1.5,0.0,3.0
Hovercraft 1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Gun Artillery10 Artillery,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,0.5,1.0,0.0,1.5,0.0,0.0,0.85,4.5,3.0,1.0,1.0,1.0,0.5,0.0,1.0
b  AA10 Gun 88mm,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
10 AA - Tank,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
Inf10 - Trench Mortar,0.0,0.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Tank10  Mk V,0.0,0.0,0.55,2.0,1.0,1.0,1.0,2.0,2.0,1.3,1.0,1.0,1.5,2.0,0.0,0.5,0.0,0.0,0.96,1.0,1.0,0.33,2.0,2.0,1.5,0.0,2.0
