,a Fighter11 Spitfire,Inf11 - Marine,a BomberNuc11 B-29,a Strafe Fighter11 ME109,a Fighter11 P51,a Bomber 11 B-17,a AT Fighter11 Typhoon,a CarrierFighter11 Corsair1,a Strafe Fighter11 ME262,Inf11 - Bazooka Infantry,s11 Bismarck Battleship,Inf11 - Flame Thrower,Tank11 Panzer,h1-11 Rommel (heal),s11 Fishing Boat Modern,s11 Warrington,a Bomber 11 Heinkel 111,Tank11 Sherman,h2-11 Shackelford (Morale),cp Missile Base,Inf10 - SAS Explosive Expert,Tank11 Sherman - Flamethrower,a Carrier Fighter11 Dauntless,a Carrier Fighter11 Zero,a Strafe Fighter11 Zero,h Lt. Stock,Hero Bulldog Ramsey (Morale)
a Fighter11 Spitfire,1.25,0.0,1.4,1.25,1.25,1.4,1.25,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.25,1.25,1.25,0.0,0.0
Inf11 - Marine,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.0,0.9,0.9,0.1,0.9,0.9,0.0,0.0,0.0,0.9,0.9
a BomberNuc11 B-29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.5,2.5,1.0,1.0,0.0,0.5,2.5,3.0,1.0,0.5,0.0,0.0,0.0,2.5,2.5
a Strafe Fighter11 ME109,0.45,1.0,1.4,0.45,0.45,1.4,0.45,0.45,0.45,1.0,0.75,1.0,0.35,0.5,0.75,0.75,1.4,0.35,0.5,0.15,1.0,0.35,0.45,0.45,0.45,0.5,0.5
a Fighter11 P51,1.25,0.0,1.4,1.25,1.25,1.4,1.25,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.25,1.25,1.25,0.0,0.0
a Bomber 11 B-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.5,2.5,1.0,1.0,0.0,0.5,2.5,3.0,1.0,0.5,0.0,0.0,0.0,2.5,2.5
a AT Fighter11 Typhoon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,0.0,1.5,1.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0,1.0
a CarrierFighter11 Corsair1,1.25,1.0,1.4,1.25,1.25,1.4,1.25,1.25,1.25,1.0,3.0,1.0,0.5,0.5,1.9,1.9,1.4,0.5,0.5,0.15,1.0,0.5,1.25,1.25,1.25,0.5,0.5
a Strafe Fighter11 ME262,0.45,1.0,1.4,0.45,0.45,1.4,0.45,0.45,0.45,1.0,0.75,1.0,0.35,0.5,0.75,0.75,1.4,0.35,0.5,0.15,1.0,0.35,0.45,0.45,0.45,0.5,0.5
Inf11 - Bazooka Infantry,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,2.0,0.0,0.0,0.0,1.0,1.0
