,a HelicopterGunShip13 Reaper,a Helicopter Sea King II 13,a BomberNuc13 Titan,a Strafe Fighter13 Talon,Gun Artillery13 Colossus,s13 Leviathon Battleship,a Bomber 13 B-122 Wyvern,a HelicopterAT13 Spectre,b  AA13 Missile Tower,Inf13 - Sentinel,Tank13 Gladiator,Mech Minotaur,Mech Ares,a Fighter13 F-48 Jackal,h1-13 Alexi Septimus (heal),h2-13 Sergei Molotov (Morale),s13 Juggernaut Frigate,Gun AT13 Thor AT Gun,Mech Furies,Mech Pandora,Mech Tempest,Mech Hyperion,s13 Digital Fishing Boat,s13 Sagitarian Cruiser,b  Guard Tower - Digital,Gun Siege13 Paladin Cannon,13 AA Tank Skywatcher,a CarrierFighter13 Avenger,14 Anti Missile Battery,b  Space Turret
a HelicopterGunShip13 Reaper,1.0,1.0,0.0,0.0,0.75,1.0,0.0,1.0,0.35,1.5,1.0,1.0,1.5,0.0,0.75,0.75,1.0,0.7,1.0,1.0,1.0,2.0,1.0,1.0,0.12,0.75,0.4,0.0,0.4,0.12
a Helicopter Sea King II 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a BomberNuc13 Titan,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,2.5,2.5,1.0,0.75,1.0,0.6,0.6,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0
a Strafe Fighter13 Talon,0.8,0.8,1.4,0.45,0.33,0.75,1.4,0.8,0.11,1.0,0.35,1.0,1.5,0.45,0.5,0.5,0.75,0.7,1.0,1.0,1.0,1.0,0.75,0.75,0.15,1.0,0.11,0.45,0.11,0.15
Gun Artillery13 Colossus,0.0,0.0,0.0,0.0,1.0,4.5,0.0,0.0,1.0,1.0,0.85,1.0,0.0,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0
s13 Leviathon Battleship,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,1.0,1.0,0.4,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.4,0.4,1.0,1.0,1.0,0.4,0.3,1.0,0.0,1.0,0.4
a Bomber 13 B-122 Wyvern,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,2.5,2.5,1.0,0.75,1.0,0.6,0.6,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0
a HelicopterAT13 Spectre,1.0,1.0,0.0,0.0,0.75,1.0,0.0,1.0,0.35,1.5,1.0,1.0,1.5,0.0,0.75,0.75,1.0,0.7,1.0,1.0,1.0,2.0,1.0,1.0,0.12,0.75,0.4,0.0,0.4,0.12
b  AA13 Missile Tower,1.4,1.4,2.0,1.0,0.0,0.0,1.5,1.4,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Inf13 - Sentinel,0.35,0.35,0.0,0.0,1.0,1.0,0.0,0.35,1.0,0.9,0.9,1.1,1.0,0.0,0.9,0.9,1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5
Tank13 Gladiator,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.3,0.4,0.0,0.0,1.5,1.5,1.0,0.55,1.19,1.0,1.0,1.19,1.0,1.0,1.0,0.33,2.0,0.0,2.0,1.0
Mech Minotaur,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5
