,a Strafe Fighter14 Phoenix,s14 Hammerhead Submarine,s14 Triton Submarine,Inf14 - Guardian,Gun AT14 Hercules AT Gun,h2-14 Cyborg Molotov (Morale),h1-14 Molly Ryan (heal),Mech Zeus,a Fighter14 F-96 Nebula,Mech Minotaur II,Mech Hyperion II,Mech Pandora II,Mech Ares II,Tank14 Centurion,Inf15 - Watchman,h1 - 15 Khan Sun Do (Strategist),h2 - 15 Hu Kwan Do (Warrior)
a Strafe Fighter14 Phoenix,0.45,0.0,0.0,1.0,0.7,0.5,0.5,1.0,0.45,1.0,1.0,1.0,1.5,0.35,1.0,0.5,0.5
s14 Hammerhead Submarine,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
s14 Triton Submarine,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Inf14 - Guardian,0.0,0.0,0.0,0.9,1.25,0.9,0.9,1.0,0.0,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.9
Gun AT14 Hercules AT Gun,0.0,0.0,0.0,1.0,1.75,1.0,1.0,0.7,0.0,2.12,3.5,1.7,0.0,2.65,1.0,1.0,1.0
h2-14 Cyborg Molotov (Morale),0.0,0.0,0.0,0.9,0.4,1.0,1.0,0.5,0.0,0.5,1.0,0.75,0.0,0.25,0.9,1.0,1.0
h1-14 Molly Ryan (heal),0.0,0.0,0.0,0.9,0.4,1.0,1.0,0.5,0.0,0.5,1.0,0.75,0.0,0.25,0.9,1.0,1.0
Mech Zeus,0.0,0.0,0.0,0.44,1.1,1.5,1.5,1.0,0.0,1.0,2.2,0.6,2.0,0.13,0.44,1.5,1.5
a Fighter14 F-96 Nebula,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
Mech Minotaur II,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.68,0.0,1.0,1.0,1.0,1.0,2.1,1.0,1.0,1.0
Mech Hyperion II,0.0,0.2,0.2,1.0,0.65,1.5,1.5,0.46,0.0,2.0,1.4,1.3,0.0,1.0,1.0,1.5,1.5
Mech Pandora II,0.0,0.0,0.0,1.25,0.58,1.0,1.0,0.95,0.0,1.7,1.1,1.15,1.0,1.2,1.25,1.0,1.0
Mech Ares II,0.0,0.0,0.0,1.0,1.3,1.0,1.0,0.6,0.0,2.0,1.5,1.4,1.4,1.0,1.0,1.0,1.0
Tank14 Centurion,0.0,0.0,0.0,2.0,0.55,1.5,1.5,1.0,0.0,0.4,1.19,1.0,0.0,1.3,2.0,1.5,1.5
Inf15 - Watchman,0.0,0.0,0.0,0.9,1.25,0.9,0.9,1.0,0.0,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.9
h1 - 15 Khan Sun Do (Strategist),0.0,0.0,0.0,0.9,0.4,1.0,1.0,0.5,0.0,0.5,1.0,0.75,0.0,0.25,0.9,1.0,1.0
h2 - 15 Hu Kwan Do (Warrior),0.0,0.0,0.0,0.9,0.4,1.0,1.0,0.5,0.0,0.5,1.0,0.75,0.0,0.25,0.9,1.0,1.0
