,Arch03 - Simple Bowman,Inf03 - Maceman,s03 Copper Galley,s03 Copper Battleship [Galley],Cav03 - Horseman,h1-3 Sargon of Akkad (heal),h2-3 Gilgamesh (Morale),s03 Copper Frigate,b  Guard Tower - Copper,Arch03 - Simple Bowman(Flaming)
Arch03 - Simple Bowman,1.0,1.0,1.0,1.0,1.0,0.85,0.85,1.0,0.25,1.0
Inf03 - Maceman,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.0,0.75,1.0
s03 Copper Galley,2.0,2.0,1.0,3.8,2.0,0.5,0.5,1.0,2.0,2.0
s03 Copper Battleship [Galley],1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.4,1.0
Cav03 - Horseman,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
h1-3 Sargon of Akkad (heal),1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h2-3 Gilgamesh (Morale),1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s03 Copper Frigate,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,2.0
b  Guard Tower - Copper,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Arch03 - Simple Bowman(Flaming),1.0,1.0,1.0,1.0,1.0,0.85,0.85,1.0,0.25,1.0
