,Arch04 - Chariot Archer,Cav04 - War Elephant,Gun Spear04 Stone Thrower,Inf04 - Short Sword,Inf04 - Phalanx,Siege04 - Ram,Gun Siege04 Catapult,s04 Fishing Boat Bronze,Cav04 - Bronze Spear Cavalry,h2-4 Hannibal (Morale),h1-4 Alexander the Great (heal),s04 Bronze Galley,s04 Bronze Catapult Ship,s04 Bronze Frigate,s04 Bronze Battleship [Pentakonter],Arch04 - Elephant Archer,Inf04 - Javelin,b  Guard Tower - Bronze,Gun Spear04 Scorpion,Inf04 - Short Sword(Crusader),Cav04 - Bronze Spear Cavalry(Crusader),"h Marius (heal, conscript)",h Greek Captain
Arch04 - Chariot Archer,1.0,3.0,0.2,1.0,1.4,0.1,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.35,0.25,0.2,1.0,1.0,0.5,0.5
Cav04 - War Elephant,1.0,1.0,1.35,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,4.5,1.0,0.72,3.0,1.35,1.0,1.0,0.5,0.5
Gun Spear04 Stone Thrower,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0
Inf04 - Short Sword,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.75,1.0,1.5,1.0,1.0,1.0
Inf04 - Phalanx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0
Siege04 - Ram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gun Siege04 Catapult,1.0,1.0,1.35,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,4.5,1.0,0.72,3.0,1.35,1.0,1.0,0.5,0.5
s04 Fishing Boat Bronze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cav04 - Bronze Spear Cavalry,1.0,0.8,1.0,2.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,1.0,1.0,2.0,1.5,1.0,1.0
h2-4 Hannibal (Morale),1.0,2.0,1.0,1.25,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.5,1.0,1.0
h1-4 Alexander the Great (heal),1.0,2.0,1.0,1.25,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.5,1.0,1.0
s04 Bronze Galley,2.0,2.0,2.0,2.0,2.0,0.1,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,3.8,2.0,2.0,2.0,2.0,2.0,2.0,0.5,0.5
s04 Bronze Catapult Ship,1.0,1.0,1.35,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,4.5,1.0,0.72,3.0,1.35,1.0,1.0,0.5,0.5
s04 Bronze Frigate,2.0,1.0,1.0,1.0,1.0,0.1,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.4,1.0,1.0,1.0,1.0,1.0
s04 Bronze Battleship [Pentakonter],1.0,1.0,1.0,1.0,1.0,0.1,0.3,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0
Arch04 - Elephant Archer,1.0,3.0,0.2,1.0,1.0,0.1,1.0,1.0,1.0,0.85,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.2,1.0,1.0,0.85,0.85
Inf04 - Javelin,1.0,3.0,0.2,1.0,1.0,0.1,1.0,1.0,1.0,0.85,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.2,1.0,1.0,0.85,0.85
b  Guard Tower - Bronze,1.0,1.0,0.2,1.0,1.0,0.1,0.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
Gun Spear04 Scorpion,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0
Inf04 - Short Sword(Crusader),1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.75,1.0,1.5,1.0,1.0,1.0
Cav04 - Bronze Spear Cavalry(Crusader),1.0,0.8,1.0,2.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,1.0,1.0,2.0,1.5,1.0,1.0
"h Marius (heal, conscript)",1.0,2.0,1.0,1.25,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.5,1.0,1.0
h Greek Captain,1.0,2.0,1.0,1.25,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.5,1.0,1.0
