,Arch05 - Composite Bow,Arch05 - Cross Bow,Inf05 - Pilum,s05 Byzantine Battleship [Septrireme],Cav05 - Cataphract,h1-5 Charlemagne (heal),h2-5 Julius Caesar (Morale),s05 Byzantine Galley,s05 Byzantine Frigate,Cav05 Persian Cavalry,Inf05 - Viking,Inf05 - Barbarian,Arch05 - Composite Bow(Flaming),"h2-5 Julius Caesar (Morale, Conscript)"
Arch05 - Composite Bow,1.0,1.0,1.0,1.0,1.0,0.85,0.85,1.0,1.0,1.0,0.15,1.0,1.0,0.85
Arch05 - Cross Bow,12.0,12.0,12.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,12.0,12.0,12.0,3.0
Inf05 - Pilum,1.0,1.0,1.0,1.0,1.0,0.85,0.85,1.0,1.0,1.0,0.15,1.0,1.0,0.85
s05 Byzantine Battleship [Septrireme],1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0
Cav05 - Cataphract,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.25,2.0,1.5,1.0,1.0
h1-5 Charlemagne (heal),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.25,1.0,1.0
h2-5 Julius Caesar (Morale),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.25,1.0,1.0
s05 Byzantine Galley,2.0,2.0,2.0,3.8,2.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,2.0,0.5
s05 Byzantine Frigate,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
Cav05 Persian Cavalry,1.0,1.0,0.9,1.0,1.75,0.5,0.5,1.0,1.0,1.0,0.5,1.75,1.0,0.5
Inf05 - Viking,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0
Inf05 - Barbarian,2.5,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,2.5,1.0
Arch05 - Composite Bow(Flaming),1.0,1.0,1.0,1.0,1.0,0.85,0.85,1.0,1.0,1.0,0.15,1.0,1.0,0.85
"h2-5 Julius Caesar (Morale, Conscript)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.25,1.0,1.0
