,Arch06 - Cavalry Archer,Arch06 - Long Bow,Inf06 - LongSword,Inf06 - Pikeman,Gun Siege06 Trebuchet,Cav06 - Knight,Gun Spear06 Balistae,h1 6 William the Conqueror (heal),h2-6 Richard the Lionheart (Morale),s06 Middle Age Galley,s06 Middle Ages Battleship [Decereme],s06 Middle Age Frigate,s06 Middle Age Catapult Ship,Siege06 - Heavy Ram,b  Guard Tower - Middle,Arch06 - Long Bow(Flaming),Inf06 - LongSword(Crusader),Cav06 - Knight(Crusader),b  Guard Tower - Palisades,b  Guard Tower - Bamboo
Arch06 - Cavalry Archer,1.0,1.0,1.0,1.4,1.0,1.0,0.2,0.5,0.5,1.0,1.0,1.0,1.0,0.1,0.25,1.0,1.0,1.0,0.25,0.25
Arch06 - Long Bow,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.85,0.85,1.0,1.0,1.0,1.0,0.1,0.25,1.0,1.0,1.0,0.25,0.25
Inf06 - LongSword,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.5,1.0,0.75,0.75
Inf06 - Pikeman,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gun Siege06 Trebuchet,1.0,1.0,1.0,1.0,1.0,1.0,1.35,0.5,0.5,1.0,4.5,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0
Cav06 - Knight,1.0,1.0,2.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.5,1.0,1.0
Gun Spear06 Balistae,1.0,1.0,1.0,1.0,0.7,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0
h1 6 William the Conqueror (heal),1.0,1.0,1.25,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.5,1.0,1.0
h2-6 Richard the Lionheart (Morale),1.0,1.0,1.25,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.5,1.0,1.0
s06 Middle Age Galley,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.5,0.5,1.0,3.8,1.0,1.0,0.1,2.0,2.0,2.0,2.0,2.0,2.0
s06 Middle Ages Battleship [Decereme],1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.1,0.4,1.0,1.0,1.0,0.4,0.4
s06 Middle Age Frigate,2.0,2.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.4,2.0,1.0,1.0,0.4,0.4
s06 Middle Age Catapult Ship,1.0,1.0,1.0,1.0,1.0,1.0,1.35,0.5,0.5,1.0,4.5,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0
Siege06 - Heavy Ram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
b  Guard Tower - Middle,1.0,1.0,1.0,1.0,0.12,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0
Arch06 - Long Bow(Flaming),1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.85,0.85,1.0,1.0,1.0,1.0,0.1,0.25,1.0,1.0,1.0,0.25,0.25
Inf06 - LongSword(Crusader),1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.5,1.0,0.75,0.75
Cav06 - Knight(Crusader),1.0,1.0,2.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.5,1.0,1.0
b  Guard Tower - Palisades,1.0,1.0,1.0,1.0,0.12,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0
b  Guard Tower - Bamboo,1.0,1.0,1.0,1.0,0.12,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0
