,Inf07 - Arquebus,Gun Cannon07 - Culverin Cannon,s07 Renaissance Galleon,s07 Renaissance Battleship [Galleon],Gun Siege07 Basilisk Cannon,h2-7 Henry V (Morale),h1-7 Isabella (heal),s07 Renaissance Frigate,Cav07 - Royal Cuirassier (Sword),Cav07 - Carabineers (gun)
Inf07 - Arquebus,0.9,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5
Gun Cannon07 - Culverin Cannon,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.5,1.0
s07 Renaissance Galleon,2.0,2.0,1.0,3.8,1.0,0.5,0.5,1.0,2.0,2.0
s07 Renaissance Battleship [Galleon],1.0,1.0,0.25,1.0,0.3,1.0,1.0,1.0,1.0,1.0
Gun Siege07 Basilisk Cannon,1.0,1.35,1.0,4.5,1.0,0.5,0.5,1.0,1.0,1.0
h2-7 Henry V (Morale),0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75
h1-7 Isabella (heal),0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75
s07 Renaissance Frigate,2.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0
Cav07 - Royal Cuirassier (Sword),1.5,1.25,1.0,1.0,1.25,1.0,1.0,1.0,1.5,1.0
Cav07 - Carabineers (gun),0.65,1.0,0.44,1.0,1.0,1.0,1.0,0.44,2.5,1.0
