,Inf08 - Musketeer,s08 Gunboat Cruiser,s08 Imperial Galleon,s08 Imperial Battleship,Gun Artillery08 Bombard,h2-8 Oliver Cromwell (Morale),h1-8 Elizabeth I (heal),s08 Imperial Frigate,s08 Fishing Boat Imperial,Inf08 - Halberdier,b  Guard Tower - Imperial,Inf08 - Sharpshooter,Inf08 - Hand Cannoneer
Inf08 - Musketeer,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,0.75,1.0,1.0
s08 Gunboat Cruiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s08 Imperial Galleon,2.0,1.0,1.0,3.8,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,2.0
s08 Imperial Battleship,1.0,1.0,0.25,1.0,0.3,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0
Gun Artillery08 Bombard,1.0,1.0,1.0,4.5,1.0,0.5,0.5,1.0,1.0,1.0,3.0,1.0,1.0
h2-8 Oliver Cromwell (Morale),0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h1-8 Elizabeth I (heal),0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s08 Imperial Frigate,2.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0
s08 Fishing Boat Imperial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inf08 - Halberdier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
b  Guard Tower - Imperial,0.6,1.0,1.0,1.0,0.12,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6
Inf08 - Sharpshooter,12.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,12.0,1.0,12.0,12.0
Inf08 - Hand Cannoneer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
