,Cav09 - Dragoon (gun),Inf09 - Grenadier,Gun Siege09 Serpentine Cannon,s09 Royal Battleship,Gun Cannon09 - Bronze Cannon,h2-9 Napoleon (Morale),h1-9 Otto Von Bismarck (heal),s09 Royal Frigate,s09 Royal Galleon,Cav09 - Imperial Cuirassier Sword,Inf09 - Elite Guard,Inf09 - Partisan
Cav09 - Dragoon (gun),1.0,0.65,1.0,1.0,1.0,1.0,1.0,0.44,0.44,2.5,1.0,1.0
Inf09 - Grenadier,1.5,0.9,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,0.8,1.0
Gun Siege09 Serpentine Cannon,1.0,1.0,1.0,4.5,1.35,0.5,0.5,1.0,1.0,1.0,1.0,1.0
s09 Royal Battleship,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0
Gun Cannon09 - Bronze Cannon,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
h2-9 Napoleon (Morale),0.75,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h1-9 Otto Von Bismarck (heal),0.75,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s09 Royal Frigate,1.0,2.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s09 Royal Galleon,2.0,2.0,1.0,3.8,2.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0
Cav09 - Imperial Cuirassier Sword,1.0,1.5,1.25,1.0,1.25,1.0,1.0,1.0,1.0,1.5,2.0,2.0
Inf09 - Elite Guard,0.7,1.75,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.75,1.75
Inf09 - Partisan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
