, Tower - Primitive, Tower - Copper, Tower - Bronze, Tower - Medieval, Tower - Palisades, Tower - Bamboo, Tower - Imperial, 88mm AA Gun, Tower - Concrete, AA Missile Tower, Tower - Laser, Space Turret, Tower - Space, AA Missile Tower, Fokker Fighter/Bomber, Sopwith Fighter, Gotha Bomber, Catalina, Spitfire Fighter, B-29 Bomber, ME109  Fighter/Bomber, P-51 Fighter, B-17 Bomber, Typhoon Anti-Tank, Corsair Fighter/Bomber, ME262 Fighter/Bomber, Heinkel Bomber, Dauntless, Zero (Carrier Based), Zero, F-15 Fighter, B-2 Bomber, F-14 Fighter/Bomber, B-52 Bomber, A-10 Anti-Tank, F-117 Fighter/Bomber, Titan Bomber, Talon Fighter/Bomber, B-122 Wyvern Bomber, Jackal Fighter, Avenger Fighter/Bomber, Phoenix Fighter/Bomber, Nebula Fighter, Planetary Fighter, War Raft, Galley - Copper, Battleship - Copper, Frigate - Copper, Galley - Bronze, Catapult Ship - Bronze, Frigate - Bronze, Battleship - Bronze, Battleship - Byzantine, Galley - Byzantine, Frigate - Byzantine, Galley - Middle Ages, Battleship - Middle Ages, Frigate - Middle Ages, Catapult Ship, Galleon - Renaissance, Battleship - Renaissance, Frigate - Renaissance, Cruiser - Gunboat, Galleon - Imperial, Battleship - Imperial, Frigate - Imperial, Battleship - Royal, Frigate - Royal, Galleon - Royal, Cruiser - Dardo, Frigate - Good Hope, Naval Mine, Battleship - Dreadnought, Battleship - Bismarck, Frigate - Warrington, Battleship - Leviathan, Frigate - Juggernaut, Cruiser - Sagittarian, Clubman, Rock Thrower, Spearman, Slinger, Sampson, Simple Bowman, Maceman, Horseman, Simple Bowman (Fire), Chariot Archer, War Elephant, Stone Thrower, Short Sword, Phalanx, Ram, Catapult, Bronze Cavalry, Elephant Archer, Javelin, Scorpion, Composite Bow, Crossbow, Pilum, Cataphract, Persian Cavalry, Viking, Barbarian, Composite Bow (Fire), Cavalry Archer, Long Bow, Long Sword, Pikeman, Trebuchet, Knight, Ballista, Heavy Ram, Long Bow (Fire), Arquebus, Culverin, Basilisk, Royal Cuirassier, Carabineer, Musketeer, Bombard, Halberdier, Sharpshooter, Hand Cannoneer, Dragoon, Grenadier, Serpentine, Bronze Cannon, Imperial Cuirassier, Elite Guard, Partisan, 57mm AT Gun, Machine Gun, Hovercraft, Artillery, Flak Halftrack, Trench Mortar, MkV Tank (HE), Doughboy, A7V Tank (AP), Howitzer Cannon, Grenade Launcher, Sniper, Radio Man, Marine, Bazooka, Flame Thrower, Panzer Tank (AP), Sherman Tank (HE), SAS Commando, Sherman - Flamethrower, 120mm AT Gun, Stinger Soldier, M1 Tank (HE), Heavy Mortar, Leopard Tank (AP), Colossus Artillery, Sentinel, Gladiator Tank, Minotaur, Thor AT Gun, Furies, Pandora, Hyperion, Paladin Cannon, Skywatcher AA, Anti Missile Battery, Guardian, Hercules AT Gun, Zeus, Minotaur II, Hyperion II, Pandora II, Centurion Tank, Watchman, Mining Unit, Cyber Ninja, Dune Patrol, Citizen, Female Citizen, Helicopter Anti-Tank, Sea King, Helicopter Gunship, Reaper Gunship, Sea King II, Spectre AT Helicopter, Ares, Ares II, Sub - U-Boat, Sub - Nautilus, Sub - Trident, Sub - Hammerhead, Sub - Triton, Sargon of Akkad, Alexander the Great, Short Sword (Crusader), Bronze Cavalry (Crusader), Gaius Marius, Charlemagne, William the Conqueror, Long Sword (Crusader), Knight (Crusader), Isabella of Castile, Elizabeth I, Otto von Bismarck, DeVerran, Erwin Rommel, RW Bresden, Alexi Septimus, Tempest, Molly Ryan, Khan Sun Do, Gilgamesh, Hannibal, Greek Captain, Julius Caesar, Julius Caesar, Richard the Lionheart, Henry V, Oliver Cromwell, Napoleon, Manfred von Richthofen, Travis Shackelford, Lt. Stock, 'Bulldog' Ramsey, Dennis St. Albans, Sergei Molotov, Cyborg Molotov, Hu Kwan Do, Space Capital Ship, Space Corvette, Space Fighter
 Tower - Primitive,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,30.0,50.0,50.0,6.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,50.0,50.0,5.0,2.0,50.0,50.0,50.0,10.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,50.0,10.0,5.0,50.0,30.0,12.5,1,50.0,50.0,30.0,1,50.0,30.0,30.0,50.0,30.0,1,12.5,50.0,30.0,30.0,25.0,25.0,50.0,1,50.0,30.0,15.0,30.0,15.0,1,30.0,30.0,30.0,30.0,30.0,30.0,15.0,15.0,30.0,15.0,25.0,50.0,15.0,30.0,15.0,1,30.0,15.0,40.0,25.0,50.0,1,31.0,1,50.0,50.0,30.0,20.0,1,40.0,24.0,1,15.0,25.0,15.0,30.0,15.0,50.0,50.0,0,0,0,0,0,0,0,0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,23.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,0,0
 Tower - Copper,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,40.8,68.0,68.0,8.16,68.0,68.0,68.0,68.0,68.0,68.0,13.600000000000001,68.0,68.0,6.800000000000001,4.16,68.0,68.0,68.0,13.600000000000001,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,4.16,68.0,13.600000000000001,6.800000000000001,68.0,40.8,17.0,1,68.0,68.0,40.8,1,68.0,40.8,40.8,68.0,40.8,1,17.0,68.0,40.8,40.8,34.0,34.0,68.0,1,68.0,40.8,20.4,40.8,20.4,1,40.8,40.8,40.8,40.8,40.8,40.8,20.4,20.4,40.8,20.4,34.0,68.0,20.4,40.8,20.4,1,40.8,20.4,58.0,34.0,68.0,1,49.0,1,68.0,68.0,40.8,29.0,1,58.0,42.0,1,20.4,35.8,20.4,40.8,20.4,68.0,68.0,0,0,0,0,0,0,0,0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,32.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,0,0,0
 Tower - Bronze,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,45.0,75.0,75.0,9.0,75.0,75.0,75.0,75.0,75.0,75.0,15.0,75.0,75.0,7.5,5.0,75.0,75.0,75.0,15.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,5.0,75.0,15.0,7.5,75.0,45.0,18.75,1,75.0,75.0,45.0,1.0,75.0,45.0,45.0,75.0,45.0,1,18.75,75.0,45.0,45.0,37.5,37.5,75.0,1.0,75.0,45.0,22.5,45.0,22.5,1,45.0,45.0,45.0,45.0,45.0,45.0,22.5,22.5,45.0,22.5,37.5,75.0,22.5,45.0,22.5,1,45.0,22.5,65.0,37.5,75.0,2.5,56.0,1,75.0,75.0,45.0,32.5,1,65.0,49.0,2.5,22.5,40.0,22.5,45.0,22.5,75.0,75.0,0,0,0,0,0,0,0,0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,35.5,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0,0,0
 Tower - Medieval,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,84.0,140.0,140.0,16.8,140.0,140.0,140.0,140.0,140.0,140.0,28.0,140.0,140.0,14.0,12.8,140.0,140.0,140.0,28.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,12.8,140.0,28.0,14.0,140.0,84.0,35.0,6.800000000000001,140.0,140.0,84.0,8.8,140.0,84.0,84.0,140.0,84.0,6.800000000000001,35.0,140.0,84.0,84.0,70.0,70.0,140.0,8.8,140.0,84.0,42.0,84.0,42.0,1.8000000000000007,84.0,84.0,84.0,84.0,84.0,84.0,42.0,42.0,84.0,42.0,70.0,140.0,42.0,84.0,42.0,6.800000000000001,84.0,42.0,130.0,70.0,140.0,35.0,121.0,1,140.0,140.0,84.0,65.0,17.0,130.0,114.0,35.0,42.0,79.0,42.0,84.0,42.0,140.0,140.0,0,0,0,0,0,0,0,0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,68.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,0,0,0
 Tower - Palisades,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,24.0,40.0,40.0,4.8,40.0,40.0,40.0,40.0,40.0,40.0,8.0,40.0,40.0,4.0,1,40.0,40.0,40.0,8.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,40.0,8.0,4.0,40.0,24.0,10.0,1,40.0,40.0,24.0,1,40.0,24.0,24.0,40.0,24.0,1,10.0,40.0,24.0,24.0,20.0,20.0,40.0,1,40.0,24.0,12.0,24.0,12.0,1,24.0,24.0,24.0,24.0,24.0,24.0,12.0,12.0,24.0,12.0,20.0,40.0,12.0,24.0,12.0,1,24.0,12.0,30.0,20.0,40.0,1,21.0,1,40.0,40.0,24.0,15.0,1,30.0,14.0,1,12.0,19.0,12.0,24.0,12.0,40.0,40.0,0,0,0,0,0,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,18.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0,0,0
 Tower - Bamboo,200.0,200.0,200.0,200.0,200.0,200.0,200.0,193.0,200.0,193.0,200.0,200.0,200.0,193.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,190.0,190.0,200.0,200.0,182.0,182.0,185.0,200.0,180.0,180.0,178.0,178.0,200.0,175.0,175.0,0,175.0,170.0,170.0,170.0,170.0,170.0,200.0,120.0,200.0,200.0,24.0,200.0,200.0,200.0,200.0,200.0,200.0,40.0,200.0,200.0,20.0,24.0,200.0,200.0,200.0,40.0,200.0,200.0,200.0,180.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,7.0,200.0,28.0,20.0,200.0,120.0,7.0,11.0,180.0,200.0,120.0,4.0,200.0,120.0,120.0,200.0,120.0,11.0,7.0,169.0,110.0,120.0,92.0,91.0,200.0,4.0,192.0,120.0,1,120.0,1,11.0,120.0,120.0,120.0,120.0,120.0,120.0,1,1,120.0,1,90.0,192.0,1,120.0,1,4.0,120.0,1,170.0,88.0,200.0,40.0,165.0,6.0,190.0,190.0,120.0,85.0,15.0,158.0,164.0,35.0,1,115.0,20.0,120.0,40.0,200.0,200.0,0,0,0,0,0,0,0,0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,70.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0,0,0
 Tower - Imperial,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,108.0,180.0,180.0,21.599999999999998,180.0,180.0,180.0,180.0,180.0,180.0,36.0,180.0,180.0,18.0,17.599999999999998,180.0,180.0,180.0,36.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,17.599999999999998,180.0,36.0,18.0,180.0,108.0,45.0,11.599999999999998,180.0,180.0,108.0,13.599999999999998,180.0,108.0,108.0,180.0,108.0,11.599999999999998,45.0,180.0,108.0,108.0,90.0,90.0,180.0,13.599999999999998,180.0,108.0,54.0,108.0,54.0,6.599999999999998,108.0,108.0,108.0,108.0,108.0,108.0,54.0,54.0,108.0,54.0,90.0,180.0,54.0,108.0,54.0,11.599999999999998,108.0,54.0,170.0,90.0,180.0,55.0,161.0,1,180.0,180.0,108.0,85.0,27.0,170.0,154.0,55.0,54.0,103.0,54.0,108.0,54.0,180.0,180.0,0,0,0,0,0,0,0,0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,88.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,0,0,0
 88mm AA Gun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,37.5,37.5,25.0,50.0,25.0,25.0,37.5,25.0,25.0,25.0,37.5,25.0,25.0,25.0,25.0,37.5,25.0,50.0,25.0,25.0,50.0,25.0,37.5,25.0,25.0,25.0,25.0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,35.0,35.0,35.0,35.0,35.0,86.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5
 Tower - Concrete,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,135.0,225.0,225.0,27.0,225.0,225.0,225.0,225.0,225.0,225.0,45.0,225.0,225.0,22.5,23.0,225.0,225.0,225.0,45.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,23.0,225.0,45.0,22.5,225.0,135.0,56.25,17.0,225.0,225.0,135.0,19.0,225.0,135.0,135.0,225.0,135.0,17.0,56.25,225.0,135.0,135.0,112.5,112.5,225.0,19.0,225.0,135.0,67.5,135.0,67.5,12.0,135.0,135.0,135.0,135.0,135.0,135.0,67.5,67.5,135.0,67.5,112.5,225.0,67.5,135.0,67.5,17.0,135.0,67.5,215.0,112.5,225.0,77.5,206.0,2.0,225.0,225.0,135.0,107.5,38.25,215.0,199.0,77.5,67.5,130.0,67.5,135.0,67.5,225.0,225.0,0,0,0,0,0,0,0,0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,110.5,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,0,0,0
 AA Missile Tower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,100.0,150.0,150.0,100.0,200.0,100.0,100.0,150.0,100.0,100.0,100.0,150.0,100.0,100.0,100.0,100.0,150.0,100.0,200.0,100.0,100.0,200.0,100.0,150.0,100.0,100.0,100.0,100.0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.0,140.0,140.0,140.0,140.0,140.0,386.0,386.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.0
