, Tower - Primitive, Tower - Copper, Tower - Bronze, Tower - Medieval, Tower - Palisades, Tower - Bamboo, Tower - Imperial, 88mm AA Gun, Tower - Concrete, AA Missile Tower, Tower - Laser, Space Turret, Tower - Space, AA Missile Tower, Fokker Fighter/Bomber, Sopwith Fighter, Gotha Bomber, Catalina, Spitfire Fighter, B-29 Bomber, ME109  Fighter/Bomber, P-51 Fighter, B-17 Bomber, Typhoon Anti-Tank, Corsair Fighter/Bomber, ME262 Fighter/Bomber, Heinkel Bomber, Dauntless, Zero (Carrier Based), Zero, F-15 Fighter, B-2 Bomber, F-14 Fighter/Bomber, B-52 Bomber, A-10 Anti-Tank, F-117 Fighter/Bomber, Titan Bomber, Talon Fighter/Bomber, B-122 Wyvern Bomber, Jackal Fighter, Avenger Fighter/Bomber, Phoenix Fighter/Bomber, Nebula Fighter, Planetary Fighter, War Raft, Galley - Copper, Battleship - Copper, Frigate - Copper, Galley - Bronze, Catapult Ship - Bronze, Frigate - Bronze, Battleship - Bronze, Battleship - Byzantine, Galley - Byzantine, Frigate - Byzantine, Galley - Middle Ages, Battleship - Middle Ages, Frigate - Middle Ages, Catapult Ship, Galleon - Renaissance, Battleship - Renaissance, Frigate - Renaissance, Cruiser - Gunboat, Galleon - Imperial, Battleship - Imperial, Frigate - Imperial, Battleship - Royal, Frigate - Royal, Galleon - Royal, Cruiser - Dardo, Frigate - Good Hope, Naval Mine, Battleship - Dreadnought, Battleship - Bismarck, Frigate - Warrington, Battleship - Leviathan, Frigate - Juggernaut, Cruiser - Sagittarian, Clubman, Rock Thrower, Spearman, Slinger, Sampson, Simple Bowman, Maceman, Horseman, Simple Bowman (Fire), Chariot Archer, War Elephant, Stone Thrower, Short Sword, Phalanx, Ram, Catapult, Bronze Cavalry, Elephant Archer, Javelin, Scorpion, Composite Bow, Crossbow, Pilum, Cataphract, Persian Cavalry, Viking, Barbarian, Composite Bow (Fire), Cavalry Archer, Long Bow, Long Sword, Pikeman, Trebuchet, Knight, Ballista, Heavy Ram, Long Bow (Fire), Arquebus, Culverin, Basilisk, Royal Cuirassier, Carabineer, Musketeer, Bombard, Halberdier, Sharpshooter, Hand Cannoneer, Dragoon, Grenadier, Serpentine, Bronze Cannon, Imperial Cuirassier, Elite Guard, Partisan, 57mm AT Gun, Machine Gun, Hovercraft, Artillery, Flak Halftrack, Trench Mortar, MkV Tank (HE), Doughboy, A7V Tank (AP), Howitzer Cannon, Grenade Launcher, Sniper, Radio Man, Marine, Bazooka, Flame Thrower, Panzer Tank (AP), Sherman Tank (HE), SAS Commando, Sherman - Flamethrower, 120mm AT Gun, Stinger Soldier, M1 Tank (HE), Heavy Mortar, Leopard Tank (AP), Colossus Artillery, Sentinel, Gladiator Tank, Minotaur, Thor AT Gun, Furies, Pandora, Hyperion, Paladin Cannon, Skywatcher AA, Anti Missile Battery, Guardian, Hercules AT Gun, Zeus, Minotaur II, Hyperion II, Pandora II, Centurion Tank, Watchman, Mining Unit, Cyber Ninja, Dune Patrol, Citizen, Female Citizen, Helicopter Anti-Tank, Sea King, Helicopter Gunship, Reaper Gunship, Sea King II, Spectre AT Helicopter, Ares, Ares II, Sub - U-Boat, Sub - Nautilus, Sub - Trident, Sub - Hammerhead, Sub - Triton, Sargon of Akkad, Alexander the Great, Short Sword (Crusader), Bronze Cavalry (Crusader), Gaius Marius, Charlemagne, William the Conqueror, Long Sword (Crusader), Knight (Crusader), Isabella of Castile, Elizabeth I, Otto von Bismarck, DeVerran, Erwin Rommel, RW Bresden, Alexi Septimus, Tempest, Molly Ryan, Khan Sun Do, Gilgamesh, Hannibal, Greek Captain, Julius Caesar, Julius Caesar, Richard the Lionheart, Henry V, Oliver Cromwell, Napoleon, Manfred von Richthofen, Travis Shackelford, Lt. Stock, 'Bulldog' Ramsey, Dennis St. Albans, Sergei Molotov, Cyborg Molotov, Hu Kwan Do, Space Capital Ship, Space Corvette, Space Fighter
 Tower - Primitive,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,7.5,12.5,12.5,1.5,12.5,12.5,12.5,12.5,12.5,12.5,2.5,12.5,12.5,1.25,0.5,12.5,12.5,12.5,2.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,0.5,12.5,2.5,1.25,12.5,7.5,3.125,0.25,12.5,12.5,7.5,0.25,12.5,7.5,7.5,12.5,7.5,0.25,3.125,12.5,7.5,7.5,6.25,6.25,12.5,0.25,12.5,7.5,3.75,7.5,3.75,0.25,7.5,7.5,7.5,7.5,7.5,7.5,3.75,3.75,7.5,3.75,6.25,12.5,3.75,7.5,3.75,0.25,7.5,3.75,10.0,6.25,12.5,0.25,7.75,0.25,12.5,12.5,7.5,5.0,0.25,10.0,6.0,0.25,3.75,6.25,3.75,7.5,3.75,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,5.75,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,0.0,0.0,0.0
 Tower - Copper,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,10.2,17.0,17.0,2.04,17.0,17.0,17.0,17.0,17.0,17.0,3.4000000000000004,17.0,17.0,1.7000000000000002,1.04,17.0,17.0,17.0,3.4000000000000004,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,1.04,17.0,3.4000000000000004,1.7000000000000002,17.0,10.2,4.25,0.25,17.0,17.0,10.2,0.25,17.0,10.2,10.2,17.0,10.2,0.25,4.25,17.0,10.2,10.2,8.5,8.5,17.0,0.25,17.0,10.2,5.1,10.2,5.1,0.25,10.2,10.2,10.2,10.2,10.2,10.2,5.1,5.1,10.2,5.1,8.5,17.0,5.1,10.2,5.1,0.25,10.2,5.1,14.5,8.5,17.0,0.25,12.25,0.25,17.0,17.0,10.2,7.25,0.25,14.5,10.5,0.25,5.1,8.95,5.1,10.2,5.1,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,8.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0
 Tower - Bronze,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,0.0,18.75,18.75,18.75,18.75,18.75,18.75,18.75,11.25,18.75,18.75,2.25,18.75,18.75,18.75,18.75,18.75,18.75,3.75,18.75,18.75,1.875,1.25,18.75,18.75,18.75,3.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.25,18.75,3.75,1.875,18.75,11.25,4.6875,0.25,18.75,18.75,11.25,0.25,18.75,11.25,11.25,18.75,11.25,0.25,4.6875,18.75,11.25,11.25,9.375,9.375,18.75,0.25,18.75,11.25,5.625,11.25,5.625,0.25,11.25,11.25,11.25,11.25,11.25,11.25,5.625,5.625,11.25,5.625,9.375,18.75,5.625,11.25,5.625,0.25,11.25,5.625,16.25,9.375,18.75,0.625,14.0,0.25,18.75,18.75,11.25,8.125,0.25,16.25,12.25,0.625,5.625,10.0,5.625,11.25,5.625,18.75,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,8.875,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,0.0,0.0,0.0
 Tower - Medieval,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,21.0,35.0,35.0,4.2,35.0,35.0,35.0,35.0,35.0,35.0,7.0,35.0,35.0,3.5,3.2,35.0,35.0,35.0,7.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,3.2,35.0,7.0,3.5,35.0,21.0,8.75,1.7000000000000002,35.0,35.0,21.0,2.2,35.0,21.0,21.0,35.0,21.0,1.7000000000000002,8.75,35.0,21.0,21.0,17.5,17.5,35.0,2.2,35.0,21.0,10.5,21.0,10.5,0.4500000000000002,21.0,21.0,21.0,21.0,21.0,21.0,10.5,10.5,21.0,10.5,17.5,35.0,10.5,21.0,10.5,1.7000000000000002,21.0,10.5,32.5,17.5,35.0,8.75,30.25,0.25,35.0,35.0,21.0,16.25,4.25,32.5,28.5,8.75,10.5,19.75,10.5,21.0,10.5,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,17.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,0.0,0.0
 Tower - Palisades,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,1.2,10.0,10.0,10.0,10.0,10.0,10.0,2.0,10.0,10.0,1.0,0.25,10.0,10.0,10.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.25,10.0,2.0,1.0,10.0,6.0,2.5,0.25,10.0,10.0,6.0,0.25,10.0,6.0,6.0,10.0,6.0,0.25,2.5,10.0,6.0,6.0,5.0,5.0,10.0,0.25,10.0,6.0,3.0,6.0,3.0,0.25,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,3.0,5.0,10.0,3.0,6.0,3.0,0.25,6.0,3.0,7.5,5.0,10.0,0.25,5.25,0.25,10.0,10.0,6.0,3.75,0.25,7.5,3.5,0.25,3.0,4.75,3.0,6.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
 Tower - Bamboo,200.0,200.0,200.0,200.0,200.0,200.0,200.0,193.0,200.0,193.0,200.0,200.0,200.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,190.0,190.0,200.0,200.0,182.0,182.0,185.0,200.0,180.0,180.0,178.0,178.0,200.0,175.0,175.0,0.0,175.0,170.0,170.0,170.0,170.0,170.0,200.0,120.0,200.0,200.0,24.0,200.0,200.0,200.0,200.0,200.0,200.0,40.0,200.0,200.0,20.0,24.0,200.0,200.0,200.0,40.0,200.0,200.0,200.0,180.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,7.0,200.0,28.0,20.0,200.0,120.0,7.0,11.0,180.0,200.0,120.0,4.0,200.0,120.0,120.0,200.0,120.0,11.0,7.0,169.0,110.0,120.0,92.0,91.0,200.0,4.0,192.0,120.0,1.0,120.0,1.0,11.0,120.0,120.0,120.0,120.0,120.0,120.0,1.0,1.0,120.0,1.0,90.0,192.0,1.0,120.0,1.0,4.0,120.0,1.0,170.0,88.0,200.0,40.0,165.0,6.0,190.0,190.0,120.0,85.0,15.0,158.0,164.0,35.0,1.0,115.0,20.0,120.0,40.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,70.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0
 Tower - Imperial,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,27.0,45.0,45.0,5.3999999999999995,45.0,45.0,45.0,45.0,45.0,45.0,9.0,45.0,45.0,4.5,4.3999999999999995,45.0,45.0,45.0,9.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,4.3999999999999995,45.0,9.0,4.5,45.0,27.0,11.25,2.8999999999999995,45.0,45.0,27.0,3.3999999999999995,45.0,27.0,27.0,45.0,27.0,2.8999999999999995,11.25,45.0,27.0,27.0,22.5,22.5,45.0,3.3999999999999995,45.0,27.0,13.5,27.0,13.5,1.6499999999999995,27.0,27.0,27.0,27.0,27.0,27.0,13.5,13.5,27.0,13.5,22.5,45.0,13.5,27.0,13.5,2.8999999999999995,27.0,13.5,42.5,22.5,45.0,13.75,40.25,0.25,45.0,45.0,27.0,21.25,6.75,42.5,38.5,13.75,13.5,25.75,13.5,27.0,13.5,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,22.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0
 88mm AA Gun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,37.5,37.5,25.0,50.0,25.0,25.0,37.5,25.0,25.0,25.0,37.5,25.0,25.0,25.0,25.0,37.5,25.0,50.0,25.0,25.0,50.0,25.0,37.5,25.0,25.0,25.0,25.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5
 Tower - Concrete,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,0.0,56.25,56.25,56.25,56.25,56.25,56.25,56.25,33.75,56.25,56.25,6.75,56.25,56.25,56.25,56.25,56.25,56.25,11.25,56.25,56.25,5.625,5.75,56.25,56.25,56.25,11.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,5.75,56.25,11.25,5.625,56.25,33.75,14.0625,4.25,56.25,56.25,33.75,4.75,56.25,33.75,33.75,56.25,33.75,4.25,14.0625,56.25,33.75,33.75,28.125,28.125,56.25,4.75,56.25,33.75,16.875,33.75,16.875,3.0,33.75,33.75,33.75,33.75,33.75,33.75,16.875,16.875,33.75,16.875,28.125,56.25,16.875,33.75,16.875,4.25,33.75,16.875,53.75,28.125,56.25,19.375,51.5,0.5,56.25,56.25,33.75,26.875,9.5625,53.75,49.75,19.375,16.875,32.5,16.875,33.75,16.875,56.25,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,27.625,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,0.0,0.0,0.0
 AA Missile Tower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,33.333333333333336,50.0,50.0,33.333333333333336,66.66666666666667,33.333333333333336,33.333333333333336,50.0,33.333333333333336,33.333333333333336,33.333333333333336,50.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,33.333333333333336,66.66666666666667,33.333333333333336,33.333333333333336,66.66666666666667,33.333333333333336,50.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,128.66666666666666,128.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
