, Tower - Palisades, 88mm AA Gun, Tower - Concrete, Fokker Fighter/Bomber, Sopwith Fighter, Gotha Bomber, Cruiser - Dardo, Frigate - Good Hope, Battleship - Dreadnought, Partisan, 57mm AT Gun, Machine Gun, Artillery, Flak Halftrack, Trench Mortar, MkV Tank (HE), Doughboy, A7V Tank (AP), Howitzer Cannon, Grenade Launcher, Sniper, Citizen, Female Citizen, Sub - U-Boat, DeVerran, Manfred von Richthofen
 Tower - Palisades,1.0,,0.036467236467236465,,,,,0.6734006734006734,0.07561436672967864,2.769230769230769,1.2987012987012987,1.5625,0.025396825396825397,,1.4222222222222223,0.4481792717086835,1.4742014742014744,0.34858387799564267,0.005333333333333333,2.857142857142857,2.962962962962963,61.53846153846154,61.53846153846154,,0.13967455827920947,0.02812939521800281
 88mm AA Gun,,,,10.822510822510822,,0.13235294117647062,,,,,,,,,,,,,,,,,,,,
 Tower - Concrete,27.421875,,1.0,,,,,18.46590909090909,2.0734877126654063,75.9375,35.612824675324674,42.8466796875,2.3523809523809525,,38.99999999999999,12.289915966386555,40.42536855036855,9.558823529411764,0.312,78.34821428571428,81.25,1687.5,1687.5,,3.8301382778126967,0.7713607594936709
 Fokker Fighter/Bomber,,0.09240000000000001,,1.0,0.3139100346020761,,0.09391304347826086,,,7.753846153846155,,,,0.12320000000000002,,,,,,,,,,,,
 Sopwith Fighter,,,,3.185626102292769,1.0,,,,,,,,,,,,,,,,,,,,,
 Gotha Bomber,,7.5555555555555545,,,,,1.5084294587400178,,,34.871794871794876,,,,10.074074074074073,,,,,,,,,,,,
 Cruiser - Dardo,,,,10.648148148148149,,0.6629411764705883,,,,,,,,,,,,,,,,,,,,
 Frigate - Good Hope,1.4849999999999999,,0.05415384615384615,,,,,1.0,0.11228733459357278,342.6923076923077,33.75,92.81250000000001,2.04,,12.184615384615384,1.1785714285714286,21.12375533428165,0.9166666666666667,0.07200000000000001,17.67857142857143,31.42857142857143,228.46153846153845,228.46153846153845,1.7134615384615384,0.518541797611565,0.10443037974683546
 Battleship - Dreadnought,13.225,,0.4822792022792023,,,,,8.905723905723907,1.0,3051.923076923077,33.39646464646464,826.5624999999999,6.133333333333334,,108.5128205128205,27.989417989417987,94.06116642958747,21.76954732510288,1.013877551020408,157.44047619047618,279.89417989417984,1525.9615384615383,1525.9615384615383,,4.6179900831063625,0.930028129395218
 Partisan,0.3611111111111111,,0.01316872427983539,0.12896825396825395,,0.028676470588235293,,0.0029180695847362513,0.0003276622558286074,1.0,0.3376623376623376,0.06206597222222222,0.03301587301587301,,0.5135802469135802,0.008092125739184561,0.26617526617526616,0.006293875574921326,0.04853333333333334,1.0317460317460319,0.08916323731138547,13.333333333333334,13.333333333333334,,0.030262820960495377,0.006094702297233943
 57mm AT Gun,0.77,,0.02807977207977208,,,,,0.02962962962962963,0.029943289224952745,2.9615384615384617,1.0,0.6760416666666667,2.3983228511530394,,0.6467191601049869,1.180542754736303,0.4427832087406556,3.0703166935050987,0.5941880341880341,2.2916666666666665,2.6528854435831177,23.69230769230769,23.69230769230769,,0.1344367623437391,0.02707454289732771
 Machine Gun,0.64,,0.023339031339031337,,,,,0.010774410774410773,0.0012098298676748583,16.111888111888113,1.4791987673343605,1.0,0.5140562248995983,,3.250793650793651,0.03154885142462782,7.983367983367984,0.024537995552488305,0.29211618257261407,18.285714285714285,0.8001250195343023,39.38461538461539,39.38461538461539,,0.13408757594804108,0.0270042194092827
 Artillery,39.375,,0.42510121457489874,,,,,0.49019607843137253,0.16304347826086954,30.28846153846154,0.416958041958042,1.9453125,1.0,,1.0,0.3250915750915751,0.7390202702702702,0.25284900284900286,0.21130434782608698,3.125,2.430555555555556,100.96153846153847,100.96153846153847,,0.028153153153153154,0.0048749777143875924
 Flak Halftrack,,,,8.116883116883116,,0.09926470588235295,,,,,,,,,,,,,,,,,,,,
 Trench Mortar,0.703125,,0.025641025641025644,,,,,0.08207070707070707,0.009215500945179585,1.9471153846153848,1.5462662337662336,0.3076171875,1.0,,1.0,0.10504201680672269,0.5182739557739559,0.02042483660130719,0.231,2.0089285714285716,0.1736111111111111,25.96153846153846,25.96153846153846,,0.058925204274041486,0.011867088607594936
 MkV Tank (HE),2.23125,,0.08136752136752137,,,,,0.8484848484848485,0.03572778827977316,123.5769230769231,0.8470680083275505,31.696875000000002,3.076056338028169,,9.52,1.0,72.36486486486487,0.1655172413793103,18.963,3.1875,396.6666666666667,205.96153846153845,205.96153846153845,,0.5609679446888749,0.1129746835443038
 Doughboy,0.6783333333333332,,0.0247369420702754,,,,,0.047340067340067335,0.010631379962192818,3.756923076923077,2.2584415584415583,0.12526041666666665,1.3531428571428572,,1.9294814814814814,0.013818860877684407,1.0,0.010748002904865649,0.36704000000000003,3.8761904761904757,0.33497942386831275,50.09230769230769,50.09230769230769,,0.11369509043927647,0.02289732770745429
 A7V Tank (AP),2.86875,,0.10461538461538461,,,,,1.0909090909090908,0.04593572778827978,158.8846153846154,0.32569930069930075,40.753125000000004,3.9549295774647883,,48.96,6.041666666666669,93.04054054054055,1.0,24.381,4.098214285714286,510.0,264.8076923076923,264.8076923076923,,0.4808296668761785,0.09683544303797469
 Howitzer Cannon,187.5,,3.2051282051282053,,,,,13.888888888888888,0.9863123993558776,20.604395604395602,1.6829689298043728,3.423295454545455,4.732510288065844,,4.329004329004329,0.05273427200337499,2.7244986922406276,0.04101554489151388,1.0,119.04761904761904,9.850275807722616,480.7692307692308,480.7692307692308,,0.33515658515658514,0.048835755586810435
 Grenade Launcher,0.35000000000000003,,0.012763532763532764,,,,,0.05656565656565656,0.006351606805293006,0.9692307692307692,0.43636363636363634,0.0546875,0.31999999999999995,,0.49777777777777776,0.3137254901960784,0.257985257985258,0.24400871459694987,0.008400000000000001,1.0,0.08641975308641975,12.923076923076923,12.923076923076923,,0.029331657238633978,0.005907172995780591
 Sniper,0.33749999999999997,,0.012307692307692308,,,,,0.031818181818181815,0.003572778827977316,11.215384615384615,0.376948051948052,1.2498046875,0.4114285714285714,,5.760000000000001,0.0025210084033613443,2.9852579852579852,0.00196078431372549,0.10152,11.571428571428571,1.0,37.38461538461539,37.38461538461539,,0.08485229415461973,0.01708860759493671
