, Tower - Palisades, 88mm AA Gun, Tower - Concrete, B-29 Bomber, P-51 Fighter, B-17 Bomber, Typhoon Anti-Tank, Corsair Fighter/Bomber, ME262 Fighter/Bomber, Battleship - Bismarck, Frigate - Warrington, 57mm AT Gun, Machine Gun, Artillery, Flak Halftrack, Trench Mortar, Howitzer Cannon, Sniper, Marine, Bazooka, Flame Thrower, Panzer Tank (AP), Sherman Tank (HE), Citizen, Female Citizen, Sub - U-Boat, Erwin Rommel, Travis Shackelford
 Tower - Palisades,1.0,,0.036467236467236465,,,,,,,0.0546896363139185,0.45955882352941174,1.2987012987012987,1.5625,0.025396825396825397,,1.4222222222222223,0.005333333333333333,2.962962962962963,0.9819967266775778,1.9199999999999997,0.37209302325581395,0.24,0.3,61.53846153846154,61.53846153846154,,0.099626400996264,0.02387774594078319
 88mm AA Gun,,,,0.00909090909090909,,0.06944444444444445,,11.455278592375365,5.244755244755245,,,,,,,,,,,,,,,,,,,
 Tower - Concrete,27.421875,,1.0,,,,,,,1.4996923707957341,12.601964613970585,35.612824675324674,42.8466796875,2.3523809523809525,,38.99999999999999,0.312,81.25,26.928191489361705,52.65,10.203488372093023,6.581250000000001,8.2265625,1687.5,1687.5,,2.731942714819427,0.654772564469914
 B-29 Bomber,,110.0,,,,,,,,,,,,,146.66666666666669,,,,,,,,,,,,,
 P-51 Fighter,,,,,1.0,,,2.40255376344086,3.055555555555556,,,,,,,,,,,,,,,,,,,
 B-17 Bomber,,14.4,,,,,,,,,,,,,19.2,,,,,,,,,,,,,
 Typhoon Anti-Tank,,,,,,,,,,,,,,,1.4666666083865718,,,,,,,,,,,,,
 Corsair Fighter/Bomber,,0.08729600000000001,,,0.4162237762237762,,,1.0,1.2717948717948717,,,,,,0.11639466666666667,,,,,,,,,,,,,
 ME262 Fighter/Bomber,,0.19066666666666665,,,0.32727272727272727,,,0.7862903225806452,1.0,,,,,,0.2542222222222222,,,,,,,,,,,,,
 Battleship - Bismarck,18.285000000000004,,0.6668034188034189,,,,,,,1.0,8.403033088235293,51.946022727272734,1142.8124999999998,8.722552255225523,,162.53333333333333,1.4727049180327867,451.48148148148147,88.41876208897484,146.28,22.38066095471236,20.897142857142857,26.12142857142857,2109.8076923076924,2109.8076923076924,,4.5541718555417185,1.0915114613180517
 Frigate - Warrington,2.176,,0.07935270655270657,,,,,,,0.1190046486190867,1.0,98.9090909090909,136.0,3.6487356321839077,,19.342222222222226,0.31418181818181806,53.72839506172839,21.044487427466148,17.407999999999998,253.02325581395348,0.9325714285714285,1.1657142857142857,334.7692307692308,334.7692307692308,2.5107692307692306,0.5419676214196761,0.12989493791786053
 57mm AT Gun,0.77,,0.02807977207977208,,,,,,,0.019250751982499315,0.01011029411764706,1.0,0.6760416666666667,2.3983228511530394,,0.6467191601049869,0.5941880341880341,2.6528854435831177,0.2874206793579694,1.54,3.9793281653746773,2.0428571428571427,0.7664893617021276,23.69230769230769,23.69230769230769,,0.0958904109589041,0.022982330468003822
 Machine Gun,0.64,,0.023339031339031337,,,,,,,0.0008750341810226963,0.007352941176470588,1.4791987673343605,1.0,0.5140562248995983,,3.250793650793651,0.29211618257261407,0.8001250195343023,4.806007509386733,12.287999999999998,5.5813953488372094,0.016753926701570682,0.020942408376963352,39.38461538461539,39.38461538461539,,0.09564134495641345,0.02292263610315186
 Artillery,39.375,,0.42510121457489874,,,,,,,0.1146453435576632,0.2740675403225807,0.416958041958042,1.9453125,1.0,,1.0,0.21130434782608698,2.430555555555556,0.4363364361702128,1.75,3.052325581395349,0.16640625,0.2080078125,100.96153846153847,100.96153846153847,,0.01912707665403672,0.004123623887799729
 Flak Halftrack,,,,0.006818181818181818,,0.052083333333333336,0.6818182089112022,8.591458944281523,3.9335664335664338,,,,,,,,,,,,,,,,,,,
 Trench Mortar,0.703125,,0.025641025641025644,,,,,,,0.006152584085315833,0.05170036764705882,1.5462662337662336,0.3076171875,1.0,,1.0,0.231,0.1736111111111111,0.34523322422258595,1.3499999999999999,0.7848837209302326,0.0140625,0.0703125,25.96153846153846,25.96153846153846,,0.04202988792029888,0.010073424068767907
 Howitzer Cannon,187.5,,3.2051282051282053,,,,,,,0.6790226526409529,3.1828703703703716,1.6829689298043728,3.423295454545455,4.732510288065844,,4.329004329004329,1.0,9.850275807722616,1.7048554282596835,20.0,6.056201550387597,0.025,0.03125,480.7692307692308,480.7692307692308,,0.21404109589041095,0.04116852748410895
 Sniper,0.33749999999999997,,0.012307692307692308,,,,,,,0.0022149302707136997,0.018612132352941176,0.376948051948052,1.2498046875,0.4114285714285714,,5.760000000000001,0.10152,1.0,1.9885433715220946,7.776000000000001,4.52093023255814,0.00135,0.0016875,37.38461538461539,37.38461538461539,,0.06052303860523038,0.014505730659025788
 Marine,1.0183333333333333,,0.037135802469135795,,,,,,,0.011309816789718348,0.04751838235294118,3.479220779220779,0.2080729166666667,2.291809523809524,,2.8965925925925924,0.58656,0.5028806584362141,1.0,3.9104,2.273488372093023,0.0094,0.01175,75.2,75.2,,0.12174346201743463,0.029178605539637057
 Bazooka,0.5208333333333334,,0.01899335232668566,,,,,,,0.006836204539239814,0.057444852941176475,0.6493506493506493,0.08138020833333334,0.5714285714285714,,0.7407407407407408,0.049999999999999996,0.1286008230452675,0.25572831423895254,1.0,0.5813953488372093,0.25,0.3125,19.23076923076923,19.23076923076923,,0.031133250311332506,0.007461795606494746
 Flame Thrower,2.6875,,0.09800569800569801,,,,,,,0.04468143286847143,0.003952205882352941,0.2512987012987013,0.17916666666666667,0.3276190476190476,,1.274074074074074,0.16512,0.22119341563786007,0.4398527004909984,1.72,1.0,0.0086,0.010750000000000001,33.07692307692308,33.07692307692308,,0.0535491905354919,0.012834288443170966
 Panzer Tank (AP),4.166666666666667,,0.15194681861348527,,,,,,,0.0478534317746787,1.0723039215686274,0.48951048951048953,59.68749999999999,6.009389671361503,,71.11111111111111,40.0,740.7407407407408,106.38297872340425,4.0,116.27906976744185,1.0,4.513888888888889,384.61538461538464,384.61538461538464,,0.49813200498132004,0.11938872970391595
 Sherman Tank (HE),3.3333333333333335,,0.12155745489078822,,,,,,,0.038282745419742956,0.8578431372549019,1.3046495489243584,47.75,4.807511737089202,,14.222222222222223,32.0,592.5925925925926,85.1063829787234,3.1999999999999997,93.02325581395348,0.22153846153846152,1.0,307.6923076923077,307.6923076923077,,0.597758405977584,0.14326647564469913
 Citizen,0.01625,,0.0005925925925925926,,,,,,,0.0004739768480539605,0.0029871323529411763,0.04220779220779221,0.025390625,0.009904761904761904,,0.03851851851851852,0.00208,0.026748971193415634,0.01329787234042553,0.052,0.030232558139534883,0.0026,0.00325,1.0,1.0,,0.0016189290161892902,0.0003880133715377268
 Female Citizen,0.01625,,0.0005925925925925926,,,,,,,0.0004739768480539605,0.0029871323529411763,0.04220779220779221,0.025390625,0.009904761904761904,,0.03851851851851852,0.00208,0.026748971193415634,0.01329787234042553,0.052,0.030232558139534883,0.0026,0.00325,1.0,1.0,,0.0016189290161892902,0.0003880133715377268
 Sub - U-Boat,,,,,,,,,,,0.39828431372549017,,,,,,,,,,,,,,,1.0,,
