, Tower - Palisades, 88mm AA Gun, Tower - Concrete, F-15 Fighter, B-2 Bomber, F-14 Fighter/Bomber, B-52 Bomber, A-10 Anti-Tank, F-117 Fighter/Bomber, Battleship - Bismarck, Frigate - Warrington, Machine Gun, Artillery, Flak Halftrack, Howitzer Cannon, Sniper, Marine, Bazooka, Flame Thrower, 120mm AT Gun, Stinger Soldier, M1 Tank (HE), Heavy Mortar, Leopard Tank (AP), Citizen, Female Citizen, Helicopter Anti-Tank, Sea King, Helicopter Gunship, Sub - Nautilus, Sub - Trident, RW Bresden, Dennis St. Albans
 Tower - Palisades,1.0,,0.036467236467236465,,,,,,,0.0546896363139185,0.45955882352941174,1.5625,0.025396825396825397,,0.005333333333333333,2.962962962962963,0.9819967266775778,1.9199999999999997,0.37209302325581395,0.9990009990009991,,0.24242424242424243,0.9411764705882354,0.18181818181818182,61.53846153846154,61.53846153846154,,,,,0.234375,0.08333333333333334,0.01939111886755866
 88mm AA Gun,,,,,0.05357142857142857,8.516074089844581,0.005639097744360902,,4.5933014354066986,,,,,,,,,,,,,,,,,,3.7647058823529416,,13.333333333333332,,,,
 Tower - Concrete,27.421875,,1.0,,,,,,,1.4996923707957341,12.601964613970585,42.8466796875,2.3523809523809525,,0.312,81.25,26.928191489361705,52.65,10.203488372093023,27.394480519480524,,6.647727272727272,25.808823529411764,4.985795454545454,1687.5,1687.5,,,,,6.427001953125,2.28515625,0.5317408376963351
 F-15 Fighter,,,,1.0,,2.431850117096019,,,3.6435087719298243,,,,,,,,,,,,,,,,,,,,,,,,
 B-2 Bomber,,18.666666666666668,,,,,,,,,,,,24.88888888888889,,,,,,,76.84391080617496,,,,,,,,,,,,
 F-14 Fighter/Bomber,,0.117425,,0.4112095531587057,,1.0,,,1.4982456140350875,,,,,0.1565666666666667,,,,,,,0.4833962264150944,,,,,,,,,,,,
 B-52 Bomber,,177.33333333333334,,,,,,,,,,,,236.44444444444446,,,,,,,730.0171526586621,,,,,,,,,,,,
 A-10 Anti-Tank,,,,,,,,,,,,,,2.385185090406445,,,,,,,7.364207826297773,,,,,,,,,,,,
 F-117 Fighter/Bomber,,0.21770833333333334,,0.2744607087827427,,0.6674473067915692,,,1.0,,,,,0.29027777777777775,,,,,,,0.8962264150943396,,,,,,,,,,,,
 Battleship - Bismarck,18.285000000000004,,0.6668034188034189,,,,,,,1.0,8.403033088235293,1142.8124999999998,8.722552255225523,,1.4727049180327867,451.48148148148147,88.41876208897484,146.28,22.38066095471236,34.64380447139067,,20.31666666666667,95.6078431372549,15.2375,2109.8076923076924,2109.8076923076924,,,,,,3.809375,0.8864165212332751
