, Tower - Palisades, AA Missile Tower, Tower - Laser, Titan Bomber, Talon Fighter/Bomber, B-122 Wyvern Bomber, Jackal Fighter, Avenger Fighter/Bomber, Battleship - Leviathan, Frigate - Juggernaut, Cruiser - Sagittarian, Colossus Artillery, Sentinel, Gladiator Tank, Minotaur, Thor AT Gun, Furies, Pandora, Hyperion, Paladin Cannon, Skywatcher AA, Citizen, Female Citizen, Sea King, Reaper Gunship, Spectre AT Helicopter, Ares, Sub - Nautilus, Sub - Trident, Alexi Septimus, Sergei Molotov
 Tower - Palisades,1.0,,0.0217687074829932,,,,,,0.030599755201958383,0.2380952380952381,,0.016666666666666666,0.6451612903225806,0.18181818181818182,0.4166666666666667,0.6993006993006993,0.14814814814814817,0.0407055630936228,0.09090909090909093,0.00196078431372549,,61.53846153846154,61.53846153846154,,,,,,0.234375,0.06046863189720333,0.015527950310559004
 AA Missile Tower,,,,0.008264462809917356,6.494279622032927,0.07563025210084033,,12.285012285012286,,,,,,,,,,,,,,,,,10.666666825612385,4.363636363636363,4.948717948717948,,,,
 Tower - Laser,45.9375,,1.0,,,,,,1.4056762545899635,10.9375,,2.8,29.637096774193544,8.352272727272727,24.791666666666664,32.12412587412587,6.805555555555556,29.91858887381275,7.5227272727272725,0.17500000000000002,,2826.923076923077,2826.923076923077,,,,,,10.7666015625,2.7777777777777772,0.7133152173913043
 Titan Bomber,,120.99999999999999,,,,,,,,,24.81203007518797,,,,,,,,,,189.39130434782606,,,,,,,,,,
 Talon Fighter/Bomber,,0.15398166666666666,,,1.0,,0.26656440095212913,0.6809999999999999,,,0.1205598086124402,,,,,,,,,,0.24101478260869563,,,,,,,,,,
 B-122 Wyvern Bomber,,13.222222222222223,,,,,,,,,2.033492822966507,,,,,,,,,,20.695652173913047,,,,,,,,,,
 Jackal Fighter,,,,,3.751438663332936,,1.0,2.5547297297297296,,,,,,,,,,,,,,,,,,,,,,,
 Avenger Fighter/Bomber,,0.08139999999999999,,,1.4684287812041117,,0.39143083840253906,1.0,,,0.16145454545454546,,,,,,,,,,0.1274086956521739,,,,,,,,,,
 Battleship - Leviathan,32.68,,0.7114013605442177,,,,,,1.0,7.780952380952381,,10.280459770114941,85.10416666666666,27.233333333333334,22.09722222222222,40.14742014742015,12.103703703703705,37.08353808353808,9.407878787878788,0.9133651551312649,,3770.7692307692314,3770.7692307692314,,,,,,,4.940287226001512,1.2686335403726707
 Frigate - Juggernaut,4.199999999999999,,0.09142857142857143,,,,,,0.12851897184822522,1.0,,4.9411764705882355,21.875,1.3125,2.625,34.710743801652896,1.5555555555555556,10.06142506142506,1.030909090909091,0.1329113924050633,,646.1538461538461,646.1538461538461,,,,,2.333333333333333,,0.6349206349206349,0.16304347826086957
