, Tower - Palisades, AA Missile Tower, Tower - Laser, Titan Bomber, B-122 Wyvern Bomber, Avenger Fighter/Bomber, Phoenix Fighter/Bomber, Nebula Fighter, Battleship - Leviathan, Frigate - Juggernaut, Cruiser - Sagittarian, Colossus Artillery, Paladin Cannon, Skywatcher AA, Guardian, Hercules AT Gun, Zeus, Minotaur II, Hyperion II, Pandora II, Centurion Tank, Citizen, Female Citizen, Reaper Gunship, Sea King II, Spectre AT Helicopter, Ares II, Sub - Hammerhead, Sub - Triton, Molly Ryan, Cyborg Molotov
 Tower - Palisades,1.0,,0.0217687074829932,,,,,,0.030599755201958383,0.2380952380952381,,0.016666666666666666,0.00196078431372549,,0.40540540540540543,0.35578747628083496,0.0015527950310559005,0.30487804878048785,0.043076923076923075,0.028409090909090908,0.11034482758620691,61.53846153846154,61.53846153846154,,,,,,0.15,0.047058823529411764,0.009144947416552356
 AA Missile Tower,,,,0.008264462809917356,0.07563025210084033,12.285012285012286,4.786788463839802,,,,,,,,,,,,,,,,,10.666666825612385,,4.363636363636363,3.4311111111111106,,,,
 Tower - Laser,45.9375,,1.0,,,,,,1.4056762545899635,10.9375,,2.8,0.17500000000000002,,18.623310810810814,21.169354838709676,0.5665760869565216,18.140243902439025,5.233846153846153,20.88068181818182,5.06896551724138,2826.923076923077,2826.923076923077,,,,,,6.890624999999998,2.1617647058823533,0.42009602194787377
 Titan Bomber,,120.99999999999999,,,,,,,,,24.81203007518797,,,189.39130434782606,,,,,,,,,,,,,,,,,
 B-122 Wyvern Bomber,,13.222222222222223,,,,,,,,,2.033492822966507,,,20.695652173913047,,,,,,,,,,,,,,,,,
 Avenger Fighter/Bomber,,0.08139999999999999,,,,1.0,1.0823460582126665,0.2791943607769652,,,0.16145454545454546,,,0.1274086956521739,,,,,,,,,,,,,,,,,
 Phoenix Fighter/Bomber,,0.20890833333333333,,,,0.9239189189189189,1.0,0.25795295197731233,,,0.1635645933014354,,,0.32698695652173915,,,,,,,,,,,,,,,,,
 Nebula Fighter,,,,,,3.581734234234234,3.8766759299887865,1.0,,,,,,,,,,,,,,,,,,,,,,,
 Battleship - Leviathan,32.68,,0.7114013605442177,,,,,,1.0,7.780952380952381,,10.280459770114941,0.9133651551312649,,46.42045454545455,24.89048811013767,4.83416149068323,16.16869918699187,6.0888,22.868181818181817,15.155942028985507,3770.7692307692314,3770.7692307692314,,,,,,,3.844705882352941,0.7471422039323274
 Frigate - Juggernaut,4.199999999999999,,0.09142857142857143,,,,,,0.12851897184822522,1.0,,4.9411764705882355,0.1329113924050633,,11.931818181818182,18.33639705882353,0.5347826086956522,1.9207317073170733,0.6216,6.204545454545453,0.7304347826086957,646.1538461538461,646.1538461538461,,,,,1.3263157894736841,,0.4941176470588235,0.09602194787379974
 Cruiser - Sagittarian,,,,0.040303030303030306,0.491764705882353,6.193693693693693,6.11379259909317,,,,,,,,,,,,,,,,,55.733334163824715,,7.6000000000000005,4.25037037037037,,,,
 Colossus Artillery,60.0,,0.35714285714285715,,,,,,0.09727191413237925,0.20238095238095236,,1.0,0.11234567901234567,,0.16891891891891894,0.17123287671232876,0.026374680306905374,0.09143518518518519,0.02523076923076923,0.2556818181818182,0.10026666666666666,153.84615384615387,153.84615384615387,,,,,,,0.013333333333333334,0.0023515579071134627
 Paladin Cannon,509.99999999999994,,5.7142857142857135,,,,,,1.0948523647765873,7.523809523809524,,8.901098901098901,1.0,,1.4358108108108107,1.5490196078431373,0.2608695652173913,1.1198830409356726,0.23938461538461536,1.8603372434017595,0.16080402010050251,1307.6923076923076,1307.6923076923076,,,,,,,0.2833333333333334,0.041766476260671946
 Skywatcher AA,,,,0.0052800734618916444,0.04831932773109243,7.84875784875785,3.0582259630087623,,,,,,,,,,,,,,,,,8.944444577727054,,2.439393939393939,9.864444444444445,,,,
 Guardian,2.466666666666667,,0.05369614512471655,,,,,,0.0215422276621787,0.0838095238095238,,5.92,0.6964705882352941,,1.0,1.9924098671726755,0.1919819311123659,0.2715447154471545,0.03692307692307692,0.01818181818181818,0.0073563218390804595,182.15384615384613,182.15384615384613,0.07009523913973853,,0.10569696969696968,0.1671111111111111,,,0.13929411764705885,0.02706904435299497
 Hercules AT Gun,2.8106666666666666,,0.04723809523809524,,,,,,0.04017598994343181,0.05453634085213033,,5.840000000000001,0.6455696202531646,,0.5019047619047619,1.0,0.008169336384439356,0.32910822510822507,0.5531685393258428,0.9942096120440067,1.2364272844272843,324.3076923076923,324.3076923076923,,,,,,,0.14537931034482757,0.02496373271752968
 Zeus,644.0,,1.7649880095923263,,,,,,0.2068611075420789,1.869918699186992,,37.915151515151514,3.8333333333333335,,5.208823529411765,122.40896358543422,1.0,6.903248587570621,13.827878787878785,8.924611973392462,1.0147878787878788,4953.846153846153,4953.846153846153,,,,42.07466666666666,,,3.942857142857143,0.4907788446883097
