, Tower - Palisades, Space Turret, Tower - Space, AA Missile Tower, Titan Bomber, B-122 Wyvern Bomber, Avenger Fighter/Bomber, Phoenix Fighter/Bomber, Nebula Fighter, Planetary Fighter, Battleship - Leviathan, Frigate - Juggernaut, Cruiser - Sagittarian, Colossus Artillery, Paladin Cannon, Skywatcher AA, Hercules AT Gun, Zeus, Minotaur II, Hyperion II, Pandora II, Centurion Tank, Watchman, Citizen, Female Citizen, Reaper Gunship, Sea King II, Spectre AT Helicopter, Ares II, Sub - Hammerhead, Sub - Triton, Khan Sun Do, Hu Kwan Do, Space Capital Ship, Space Corvette, Space Fighter
 Tower - Palisades,1.0,,0.02077922077922078,,,,,,,,0.030599755201958383,0.2380952380952381,,0.016666666666666666,0.00196078431372549,,0.35578747628083496,0.0015527950310559005,0.30487804878048785,0.043076923076923075,0.028409090909090908,0.11034482758620691,0.18627450980392157,61.53846153846154,61.53846153846154,,,,,,0.15,0.0392156862745098,0.006858710562414266,,,
 Space Turret,,,,,,,,,,32.288329519450805,,,,,,,,,,,,,,,,,,,,,,,,1.0757812500000001,11.475,21.596938775510203
 Tower - Space,48.125,,1.0,,,,,,,,1.4726132190942474,11.458333333333332,,2.9333333333333336,0.18333333333333335,,22.177419354838708,0.593555900621118,19.004065040650406,5.483076923076923,21.875,5.310344827586207,11.05392156862745,2961.538461538462,2961.538461538462,,,,,,7.218749999999998,1.8872549019607843,0.33007544581618653,,,
 AA Missile Tower,,,,,0.008264462809917356,0.07563025210084033,12.285012285012286,4.786788463839802,,3.751954142782699,,,,,,,,,,,,,,,,10.666666825612385,,4.363636363636363,3.4311111111111106,,,,,,,2.623906705539359
 Titan Bomber,,,,120.99999999999999,,,,,,,,,24.81203007518797,,,189.39130434782606,,,,,,,,,,,,,,,,,,,,
 B-122 Wyvern Bomber,,,,13.222222222222223,,,,,,,,,2.033492822966507,,,20.695652173913047,,,,,,,,,,,,,,,,,,,,
 Avenger Fighter/Bomber,,,,0.08139999999999999,,,1.0,1.0823460582126665,0.2791943607769652,0.4064073226544623,,,0.16145454545454546,,,0.1274086956521739,,,,,,,,,,,,,,,,,,,,0.27183673469387754
 Phoenix Fighter/Bomber,,,,0.20890833333333333,,,0.9239189189189189,1.0,0.25795295197731233,1.043020594965675,,,0.1635645933014354,,,0.32698695652173915,,,,,,,,,,,,,,,,,,,,0.6976530612244897
 Nebula Fighter,,,,,,,3.581734234234234,3.8766759299887865,1.0,1.4556430205949658,,,,,,,,,,,,,,,,,,,,,,,,,,0.9736469387755102
 Planetary Fighter,,0.030970942593905027,,0.2665277777777778,,,2.4605855855855854,0.958753839403247,0.6869816197045822,1.0,,,0.22727272727272727,,,0.3923913043478261,,,,,,,,,,,,,,,,,,0.2229861111111111,0.1137323943661972,0.6785714285714286
