, Tower - Copper, Tower - Palisades, Galley - Copper, Battleship - Copper, Frigate - Copper, Spearman, Simple Bowman, Maceman, Horseman, Citizen, Female Citizen, Sargon of Akkad, Gilgamesh
 Tower - Copper,1.0,2.4650000000000003,15.801282051282051,4.417562724014337,34.23611111111111,38.66666666666667,230.6432748538012,33.70940170940171,12.083333333333332,151.6923076923077,151.6923076923077,4.564814814814815,0.9430894308943091
 Tower - Palisades,0.4056795131845841,1.0,6.410256410256411,1.7921146953405018,13.888888888888888,15.686274509803923,93.5672514619883,13.675213675213675,4.901960784313725,61.53846153846154,61.53846153846154,1.8518518518518519,0.3825920612147298
 Galley - Copper,0.06328600405679513,0.156,1.0,0.8498924731182794,0.43333333333333335,2.4470588235294115,3.6491228070175437,1.5999999999999999,0.7647058823529411,4.8,4.8,0.07222222222222223,0.01492109038737446
 Battleship - Copper,0.22636916835699797,0.5579999999999999,1.1766194331983808,1.0,7.750000000000001,36.470588235294116,97.89473684210526,14.307692307692308,6.838235294117648,64.38461538461539,64.38461538461539,2.583333333333333,0.533715925394548
 Frigate - Copper,0.029208924949290064,0.07200000000000001,2.3076923076923075,0.12903225806451613,1.0,4.705882352941177,25.26315789473684,1.8461538461538463,0.8823529411764706,11.076923076923078,11.076923076923078,0.3333333333333333,0.06886657101865136
 Spearman,0.02586206896551724,0.06375,0.4086538461538462,0.027419354838709678,0.21249999999999997,1.0,0.7953216374269007,1.159090909090909,0.74375,3.9230769230769234,3.9230769230769234,0.10231481481481482,0.02113821138211382
 Simple Bowman,0.004335699797160243,0.010687499999999999,0.27403846153846156,0.01021505376344086,0.03958333333333334,1.2573529411764706,1.0,0.1623931623931624,0.04656862745098039,2.630769230769231,2.630769230769231,0.06729166666666665,0.013902439024390242
 Maceman,0.02966531440162272,0.073125,0.625,0.06989247311827956,0.5416666666666666,0.8627450980392158,6.157894736842105,1.0,0.4779411764705882,12.0,12.0,0.12222222222222222,0.025251076040172165
 Horseman,0.08275862068965517,0.20400000000000001,1.3076923076923077,0.14623655913978492,1.1333333333333333,1.3445378151260505,21.473684210526315,2.0923076923076924,1.0,12.553846153846154,12.553846153846154,0.3333333333333333,0.06886657101865136
 Citizen,0.006592292089249493,0.01625,0.20833333333333334,0.015531660692951015,0.09027777777777776,0.2549019607843137,0.38011695906432746,0.08333333333333333,0.07965686274509805,1.0,1.0,0.03009259259259259,0.006217120994739359
 Female Citizen,0.006592292089249493,0.01625,0.20833333333333334,0.015531660692951015,0.09027777777777776,0.2549019607843137,0.38011695906432746,0.08333333333333333,0.07965686274509805,1.0,1.0,0.03009259259259259,0.006217120994739359
 Sargon of Akkad,0.21906693711967545,0.54,13.846153846153847,0.38709677419354843,3.0,9.773755656108598,14.860681114551086,8.181818181818182,3.0,33.23076923076923,33.23076923076923,1.0,0.20659971305595407
 Gilgamesh,1.0603448275862069,2.61375,67.01923076923077,1.8736559139784945,14.520833333333334,47.30769230769231,71.92982456140352,39.602272727272734,14.520833333333334,160.84615384615384,160.84615384615384,4.840277777777779,1.0
