, Tower - Bronze, Tower - Palisades, Galley - Bronze, Frigate - Bronze, Battleship - Bronze, Simple Bowman, Chariot Archer, War Elephant, Stone Thrower, Short Sword, Phalanx, Ram, Catapult, Bronze Cavalry, Elephant Archer, Javelin, Citizen, Female Citizen, Alexander the Great, Hannibal
 Tower - Bronze,1.0,3.28125,12.243470149253731,29.401881720430108,3.8621115819209035,307.01754385964915,85.78431372549021,1.5851449275362317,5.608974358974359,27.131782945736436,17.641129032258068,0.38181818181818183,0.428921568627451,9.838830584707646,17.5,183.56643356643355,201.9230769230769,201.9230769230769,3.7955465587044532,0.7925724637681159
 Tower - Palisades,0.3047619047619048,1.0,3.731343283582089,8.960573476702509,1.177024482109228,93.5672514619883,26.1437908496732,0.4830917874396135,1.7094017094017095,8.2687338501292,5.376344086021505,0.11636363636363636,0.049019607843137254,2.998500749625187,5.333333333333333,55.944055944055954,61.53846153846154,61.53846153846154,1.156737998843262,0.24154589371980678
 Galley - Bronze,0.08167619047619049,0.268,1.0,0.48028673835125446,0.9589453860640301,6.269005847953216,1.7516339869281048,0.3884057971014493,2.290598290598291,1.662015503875969,1.4408602150537633,,0.3941176470588235,0.8035982008995503,0.3573333333333334,3.748251748251749,8.246153846153847,8.246153846153847,0.07750144592249855,0.01618357487922705
 Frigate - Bronze,0.034011428571428574,0.1116,2.082089552238806,1.0,0.13135593220338984,58.73684210526316,6.2,0.4043478260869565,2.3846153846153846,1.7302325581395348,2.1176470588235294,,0.1276470588235294,1.2025862068965516,1.0333333333333332,21.461538461538463,17.169230769230772,17.169230769230772,0.3227299016772701,0.06739130434782609
 Battleship - Bronze,0.2589257142857143,0.8496,1.0428122545168892,7.612903225806452,1.0,223.57894736842107,23.6,0.6840579710144927,18.153846153846157,13.172093023255814,16.12144212523719,,0.6786928104575162,9.155172413793103,3.933333333333333,81.6923076923077,98.03076923076924,98.03076923076924,2.4569115095430885,0.5130434782608695
 Simple Bowman,0.003257142857142857,0.010687499999999999,0.15951492537313433,0.017025089605734768,0.004472693032015066,1.0,0.2638888888888889,0.18586956521739129,0.0405982905982906,0.05891472868217054,0.39400921658986177,,0.027941176470588237,0.22112068965517245,0.03958333333333333,1.233173076923077,2.630769230769231,2.630769230769231,0.042032967032967036,0.008777173913043477
 Chariot Archer,0.011657142857142856,0.038250000000000006,0.5708955223880596,0.16129032258064516,0.0423728813559322,3.789473684210526,1.0,0.6652173913043479,0.07692307692307693,0.40930232558139534,2.0729032258064515,,0.47647058823529415,0.8330308529945553,0.17500000000000002,6.80934065934066,9.415384615384616,9.415384615384616,0.08849045691150954,0.01847826086956522
 War Elephant,0.6308571428571429,2.0700000000000003,2.574626865671642,2.4731182795698925,1.4618644067796611,5.380116959064328,1.503267973856209,1.0,7.961538461538462,4.27906976744186,3.7096774193548385,,3.3529411764705883,2.5862068965517238,0.30666666666666664,2.3160839160839157,42.46153846153847,42.46153846153847,0.1995373048004627,0.04166666666666667
 Stone Thrower,0.1782857142857143,0.585,0.43656716417910446,0.41935483870967744,0.05508474576271186,24.63157894736842,12.999999999999998,0.12560386473429952,1.0,0.7255813953488373,0.7548387096774195,,0.3254901960784314,0.31851179673321234,3.9,18.0,7.200000000000001,7.200000000000001,0.13533834586466165,0.02826086956521739
 Short Sword,0.03685714285714285,0.1209375,0.6016791044776119,0.5779569892473119,0.0759180790960452,16.973684210526315,2.4431818181818183,0.23369565217391305,1.3782051282051282,1.0,0.4623655913978495,,0.948529411764706,0.10744627686156923,0.8486842105263158,0.8018648018648018,19.846153846153847,19.846153846153847,0.11937536148062464,0.02492753623188406
