, Tower - Bronze, Tower - Palisades, Battleship - Byzantine, Galley - Byzantine, Frigate - Byzantine, Chariot Archer, Stone Thrower, Short Sword, Phalanx, Ram, Catapult, Bronze Cavalry, Composite Bow, Crossbow, Pilum, Cataphract, Persian Cavalry, Viking, Barbarian, Citizen, Female Citizen, Charlemagne, Julius Caesar
 Tower - Bronze,1.0,3.28125,2.33707264957265,8.285984848484848,19.531249999999996,85.78431372549021,5.608974358974359,27.131782945736436,17.641129032258068,0.38181818181818183,0.428921568627451,9.838830584707646,139.25729442970822,65.62499999999999,130.272952853598,6.214488636363636,16.203703703703702,41.015625,12.620192307692307,201.9230769230769,201.9230769230769,2.6041666666666665,0.5608974358974359
 Tower - Palisades,0.3047619047619048,1.0,0.7122507122507122,2.5252525252525255,5.952380952380952,26.1437908496732,1.7094017094017095,8.2687338501292,5.376344086021505,0.11636363636363636,0.049019607843137254,2.998500749625187,42.44031830238727,20.0,39.702233250620345,1.893939393939394,4.938271604938272,12.5,3.8461538461538463,61.53846153846154,61.53846153846154,0.7936507936507936,0.17094017094017094
 Battleship - Byzantine,0.42788571428571426,1.404,1.0,1.1662679425837323,8.357142857142858,43.33333333333333,30.0,21.767441860465116,28.306451612903228,,1.1725490196078432,16.137931034482758,96.82758620689656,87.75,90.58064516129033,6.6477272727272725,31.200000000000003,43.875,13.5,162.00000000000003,162.00000000000003,2.7857142857142856,0.6
 Galley - Byzantine,0.12068571428571429,0.39599999999999996,0.8574358974358973,1.0,0.47142857142857136,2.588235294117647,3.384615384615385,2.4558139534883723,2.1290322580645165,,0.6470588235294118,1.1874062968515742,4.201591511936339,7.92,3.9305210918114146,0.75,1.9555555555555557,4.95,1.5230769230769232,12.184615384615386,12.184615384615386,0.07857142857142857,0.016923076923076923
 Frigate - Byzantine,0.0512,0.168,0.11965811965811966,2.1212121212121215,1.0,10.37037037037037,3.58974358974359,2.604651162790698,3.3870967741935485,,0.27058823529411763,1.931034482758621,23.17241379310345,21.0,21.67741935483871,0.7954545454545455,3.7333333333333334,5.25,1.6153846153846154,25.846153846153847,25.846153846153847,0.33333333333333337,0.0717948717948718
 Chariot Archer,0.011657142857142856,0.038250000000000006,0.023076923076923078,0.38636363636363635,0.09642857142857142,1.0,0.07692307692307693,0.40930232558139534,2.0729032258064515,,0.47647058823529415,0.8330308529945553,1.5517241379310345,3.1384615384615384,4.441935483870968,0.07142857142857144,1.6028571428571432,0.07171875000000001,0.12000000000000001,9.415384615384616,9.415384615384616,0.060714285714285714,0.013076923076923078
 Stone Thrower,0.1782857142857143,0.585,0.03333333333333333,0.2954545454545454,0.2785714285714286,12.999999999999998,1.0,0.7255813953488373,0.7548387096774195,,0.3254901960784314,0.31851179673321234,16.137931034482758,31.2,15.096774193548388,0.11079545454545454,0.5571428571428572,1.4625000000000001,0.45,7.200000000000001,7.200000000000001,0.09285714285714286,0.02
 Short Sword,0.03685714285714285,0.1209375,0.045940170940170943,0.40719696969696967,0.3839285714285714,2.4431818181818183,1.3782051282051282,1.0,0.4623655913978495,,0.948529411764706,0.10744627686156923,4.766009852216749,0.40822784810126583,0.4979321753515301,0.27825126262626265,0.23762492651381542,2.015625,0.4843406593406593,19.846153846153847,19.846153846153847,0.07507936507936508,0.01617094017094017
 Phalanx,0.056685714285714284,0.186,0.035327635327635325,0.46969696969696967,0.2952380952380952,0.48241518829754126,1.3247863247863245,2.1627906976744184,1.0,,0.8205882352941177,0.5112443778110944,0.9319186560565872,0.20666666666666667,1.1076923076923075,0.8454545454545452,0.7065527065527066,2.325,0.9538461538461538,11.446153846153846,11.446153846153846,0.12301587301587301,0.026495726495726495
 Ram,2.619047619047619,8.59375,,,,,,,,,,,,,,,,,,,,,
 Catapult,2.3314285714285714,20.4,0.8528428093645485,1.5454545454545454,3.6956521739130435,2.0987654320987654,3.072289156626506,1.0542635658914727,1.2186379928315412,,1.0,0.689655172413793,4.689655172413793,4.25,2.256221198156682,0.196969696969697,1.2592592592592593,3.541666666666667,0.6538461538461539,52.30769230769231,52.30769230769231,0.08994708994708996,0.015740740740740743
 Bronze Cavalry,0.10163809523809524,0.3335,0.06196581196581197,0.8421717171717171,0.5178571428571428,1.2004357298474946,3.13960113960114,9.306976744186047,1.9560117302052784,,1.4500000000000002,1.0,1.6410256410256412,4.446666666666666,6.650439882697947,1.1967703349282297,2.7791666666666663,8.3375,5.434965034965035,17.102564102564102,17.102564102564102,0.14576719576719577,0.03139601139601139
 Composite Bow,0.007180952380952381,0.0235625,0.010327635327635327,0.2380050505050505,0.043154761904761904,0.6444444444444445,0.06196581196581197,0.2098191214470284,1.073055028462998,,0.21323529411764708,0.609375,1.0,0.15774058577405856,3.040322580645161,0.06407828282828282,1.1424242424242426,0.0441796875,0.06692307692307693,5.800000000000001,5.800000000000001,0.0635813492063492,0.013694444444444445
 Crossbow,0.01523809523809524,0.05,0.011396011396011397,0.12626262626262627,0.047619047619047616,0.31862745098039214,0.03205128205128205,2.449612403100775,4.838709677419355,,0.23529411764705882,0.22488755622188905,6.339522546419098,1.0,8.933002481389579,0.05366161616161616,0.3703703703703704,1.875,0.6102564102564103,9.230769230769232,9.230769230769232,0.11904761904761904,0.02564102564102564
 Pilum,0.007676190476190476,0.025187499999999998,0.01103988603988604,0.2544191919191919,0.04613095238095238,0.22512708787218588,0.06623931623931624,2.008305647840532,0.9027777777777779,,0.443218954248366,0.1503659934738513,0.32891246684350134,0.11194444444444443,1.0,0.36154306220095694,0.5528120713305898,0.06296875,0.7587412587412588,6.2,6.2,0.043363095238095235,0.009339743589743588
