, Tower - Medieval, Tower - Palisades, Galley - Middle Ages, Battleship - Middle Ages, Frigate - Middle Ages, Crossbow, Pilum, Cataphract, Persian Cavalry, Viking, Barbarian, Cavalry Archer, Long Bow, Long Sword, Pikeman, Trebuchet, Knight, Ballista, Heavy Ram, Citizen, Female Citizen, William the Conqueror, Richard the Lionheart
 Tower - Medieval,1,10.9375,17.29249012,5.001143118,40.50925926,218.75,434.2431762,20.71496212,54.01234568,136.71875,42.06730769,138.3399209,270.8978328,25.14367816,22.78645833,0.826873385,14.39144737,14.58333333,0.673076923,673.0769231,673.0769231,5.904183536,1.313813814
 Tower - Palisades,0.091428571,1,1.581027668,0.457247371,3.703703704,20,39.70223325,1.893939394,4.938271605,12.5,3.846153846,12.64822134,24.76780186,2.298850575,2.083333333,0.020671835,1.315789474,1.333333333,0.061538462,61.53846154,61.53846154,0.539811066,0.12012012
 Galley - Middle Ages,0.057828571,0.6325,1,0.879195245,0.468518519,12.65,6.277915633,1.197916667,3.12345679,7.90625,2.432692308,2,3.916408669,1.090517241,1.317708333,0.499224806,0.832236842,4.216666667,,19.46153846,19.46153846,0.085357625,0.018993994
 Battleship - Middle Ages,0.199954286,2.187,1.137403786,1,8.1,145.8,235.1612903,10.35511364,60.75,68.34375,21.02884615,30.58741259,82.21804511,9.426724138,15.1875,0.804476307,9.763392857,36.45,,252.3461538,252.3461538,2.951417004,0.656756757
 Frigate - Middle Ages,0.024685714,0.27,2.134387352,0.12345679,1,36,58.06451613,1.278409091,7.5,8.4375,2.596153846,7.552447552,20.30075188,1.163793103,1.875,0.251162791,1.205357143,4.5,,41.53846154,41.53846154,0.36437247,0.081081081
 Crossbow,0.004571429,0.05,0.079051383,0.006858711,0.027777778,1,8.933002481,0.053661616,0.37037037,1.875,0.61025641,0.158102767,3.691950464,0.681034483,1.875,0.08372093,0.098684211,0.025,,9.230769231,9.230769231,0.08097166,0.018018018
 Pilum,0.002302857,0.0251875,0.159288538,0.004252401,0.017222222,0.111944444,1,0.361543062,0.552812071,0.06296875,0.758741259,0.108915239,0.191950464,0.415178571,0.2421875,0.240310078,0.02999226,0.051666667,,6.2,6.2,0.025310391,0.005632132
 Cataphract,0.048274286,0.528,0.834782609,0.096570645,0.782222222,18.63529412,2.76592225,1,0.951910641,13.2,3.287912088,5.364705882,7.578947368,0.954216867,0.392857143,1.889087657,0.270175439,7.04,,32.49230769,32.49230769,0.225641026,0.05021021
 Persian Cavalry,0.018514286,0.2025,0.320158103,0.016460905,0.133333333,2.7,1.808933002,1.050518775,1,0.421875,3.480769231,0.301832555,0.510835913,0.908653846,0.4546875,0.390697674,0.098684211,1.4,,24.92307692,24.92307692,0.016194332,0.003603604
 Viking,0.007314286,0.08,0.126482213,0.014631916,0.118518519,0.533333333,15.8808933,0.075757576,2.37037037,1,0.307692308,6.74571805,13.20949432,0.137931034,0.166666667,0.119069767,0.052631579,0.533333333,,9.846153846,9.846153846,0.043184885,0.00960961
 Barbarian,0.023771429,0.26,0.411067194,0.047553727,0.385185185,1.638655462,1.31797235,0.304144385,0.287292818,3.25,1,3.358851675,7.894736842,0.548192771,0.326867816,0.64496124,0.043526786,1.733333333,,16,16,0.077192982,0.017177177
 Cavalry Archer,0.007228571,0.0790625,0.5,0.032693187,0.132407407,6.325,9.181451613,0.186403509,3.313095238,0.148242187,0.297720798,1,1.702786378,0.311666667,1.537326389,0.341085271,0.697610294,0.091666667,,19.46153846,19.46153846,0.085357625,0.018993994
 Long Bow,0.003691429,0.040375,0.255335968,0.01216278,0.049259259,0.270859539,5.209677419,0.131944444,1.957575758,0.075703125,0.126666667,0.587272727,1,0.120114943,0.611742424,0.094263566,0.390725806,0.063333333,,9.938461538,9.938461538,0.074102564,0.016489489
 Long Sword,0.039771429,0.435,0.916996047,0.10608139,0.859259259,1.46835443,2.408602151,1.047979798,1.100529101,7.25,1.824175824,3.20855615,8.325358852,1,0.638888889,1.43875969,0.166666667,3.866666667,,71.38461538,71.38461538,0.207287449,0.046126126
 Pikeman,0.043885714,0.48,0.758893281,0.065843621,0.533333333,0.533333333,4.129032258,2.545454545,2.199312715,6,3.059340659,0.650479955,1.634674923,1.565217391,1,1.071627907,0.564705882,2.88,,29.53846154,29.53846154,0.226720648,0.05045045
 Trebuchet,1.209375,48.375,2.00310559,1.243044688,3.981481481,11.94444444,4.161290323,0.529356061,2.55952381,8.3984375,1.550480769,2.931818182,10.60855263,0.695043103,0.933159722,1,0.592830882,5.278028351,,124.0384615,124.0384615,0.137820513,0.02594112
 Knight,0.069485714,0.76,1.201581028,0.102423411,0.82962963,10.13333333,33.34193548,3.701298701,10.13333333,19,22.97435897,1.433465086,2.559339525,6,1.770833333,1.686821705,1,6.044444444,,38.97435897,38.97435897,0.237516869,0.052852853
 Ballista,0.068571429,0.75,0.23715415,0.027434842,0.222222222,40,19.35483871,0.142045455,0.714285714,1.875,0.576923077,10.90909091,15.78947368,0.25862069,0.347222222,0.189464689,0.165441176,1,,9.230769231,9.230769231,0.08097166,0.018018018
 Heavy Ram,1.485714286,16.25,,,,,,,,,,,,,,,,,,,,,
 Citizen,0.001485714,0.01625,0.051383399,0.003962811,0.024074074,0.108333333,0.161290323,0.030776515,0.040123457,0.1015625,0.0625,0.051383399,0.100619195,0.014008621,0.033854167,0.008062016,0.025657895,0.108333333,,1,1,0.00877193,0.001951952
 Female Citizen,0.001485714,0.01625,0.051383399,0.003962811,0.024074074,0.108333333,0.161290323,0.030776515,0.040123457,0.1015625,0.0625,0.051383399,0.100619195,0.014008621,0.033854167,0.008062016,0.025657895,0.108333333,,1,1,0.00877193,0.001951952
 William the Conqueror,0.169371429,1.8525,11.71541502,0.338820302,2.744444444,12.35,39.50946414,4.431818182,61.75,23.15625,12.95454545,11.71541502,13.49480969,4.82421875,4.410714286,7.255813953,4.210227273,12.35,,114,114,1,0.222522523
 Richard the Lionheart,0.761142857,8.325,52.64822134,1.522633745,12.33333333,55.5,177.5526526,19.91626794,277.5,104.0625,58.21678322,52.64822134,60.64469131,21.6796875,19.82142857,38.54883721,18.92045455,55.5,,512.3076923,512.3076923,4.493927126,1
