, Tower - Medieval, Tower - Palisades, Galleon - Renaissance, Battleship - Renaissance, Frigate - Renaissance, Crossbow, Pilum, Viking, Barbarian, Cavalry Archer, Long Bow, Long Sword, Pikeman, Trebuchet, Heavy Ram, Arquebus, Culverin, Basilisk, Royal Cuirassier, Carabineer, Citizen, Female Citizen, Isabella of Castile, Henry V
 Tower - Medieval,1.0,10.9375,10.80246913580247,2.9761904761904763,26.515151515151512,218.75,434.24317617866006,136.71875,42.06730769230769,138.3399209486166,270.8978328173374,25.14367816091954,22.786458333333332,0.82687338501292,0.673076923076923,36.82659932659933,15.897529069767442,0.2713920817369094,9.039256198347108,23.39572192513369,673.076923076923,673.076923076923,4.323122529644269,0.7432891607203533
 Tower - Palisades,0.09142857142857143,1.0,0.9876543209876544,0.272108843537415,2.424242424242424,20.0,39.702233250620345,12.5,3.8461538461538463,12.648221343873518,24.767801857585138,2.298850574712644,2.083333333333333,0.020671834625323,0.061538461538461535,3.367003367003367,1.4534883720930232,0.01277139208173691,0.8264462809917356,2.1390374331550803,61.53846153846154,61.53846153846154,0.3952569169960475,0.06795786612300374
 Galleon - Renaissance,0.09257142857142857,1.0125,1.0,0.8375510204081633,0.4909090909090909,20.25,10.049627791563275,12.65625,3.8942307692307696,3.201581027667984,6.269349845201238,1.745689655172414,2.109375,0.9209302325581395,,4.261363636363636,5.886627906976744,0.2586206896551724,0.8367768595041323,4.922216820612542,31.153846153846153,31.153846153846153,0.10004940711462451,0.017201834862385322
 Battleship - Renaissance,0.33599999999999997,3.6749999999999994,1.1939571150097466,1.0,8.909090909090908,293.99999999999994,1185.483870967742,114.84374999999999,35.33653846153846,83.52272727272727,483.55263157894734,15.840517241379311,30.625000000000004,1.422250539803901,,65.4380341880342,68.92348087021755,0.7508099115664127,7.59297520661157,29.213036565977742,424.0384615384615,424.0384615384615,3.6314229249011856,0.6243628950050968
 Frigate - Renaissance,0.037714285714285714,0.41250000000000003,2.037037037037037,0.11224489795918367,1.0,66.0,266.1290322580645,12.890624999999998,3.9663461538461537,18.75,108.55263157894737,1.7780172413793105,3.4375,0.5197322057787175,,14.690170940170939,7.7363090772693175,0.05468066491688539,0.8522727272727272,19.568311195445926,63.46153846153846,63.46153846153846,0.4076086956521739,0.0700815494393476
 Crossbow,0.004571428571428572,0.05,0.04938271604938271,0.0034013605442176874,0.015151515151515152,1.0,8.933002481389579,1.875,0.6102564102564103,0.15810276679841898,3.6919504643962844,0.6810344827586207,1.875,0.08372093023255815,,2.525252525252525,0.007267441860465116,0.05172413793103449,0.022038567493112952,0.10695187165775401,9.230769230769232,9.230769230769232,0.05928853754940712,0.010193679918450561
 Pilum,0.0023028571428571425,0.025187499999999998,0.09950617283950618,0.0008435374149659864,0.0037575757575757577,0.11194444444444443,1.0,0.06296875,0.7587412587412588,0.10891523935002197,0.19195046439628483,0.41517857142857134,0.24218749999999997,0.24031007751937983,,0.09785353535353535,0.058575581395348846,0.21445295870583228,0.14273907910271547,0.21550802139037434,6.2,6.2,0.015469367588932803,0.002659700985389058
 Viking,0.007314285714285715,0.08,0.07901234567901234,0.00870748299319728,0.07757575757575758,0.5333333333333333,15.880893300248138,1.0,0.3076923076923077,6.745718050065876,13.209494324045407,0.13793103448275862,0.16666666666666666,0.11906976744186046,,0.2244668911335578,0.46511627906976744,0.012260536398467433,0.03305785123966942,0.1711229946524064,9.846153846153847,9.846153846153847,0.03162055335968379,0.0054366292898402994
 Barbarian,0.023771428571428572,0.26,0.2567901234567901,0.028299319727891157,0.25212121212121213,1.6386554621848737,1.3179723502304146,3.25,1.0,3.3588516746411483,7.894736842105263,0.5481927710843374,0.32686781609195403,0.6449612403100775,,0.36475869809203143,1.5116279069767442,0.39846743295019155,0.1389284696494728,0.013903743315508019,16.0,16.0,0.05138339920948616,0.008834522595990487
 Cavalry Archer,0.00722857142857143,0.07906250000000001,0.3123456790123457,0.01197278911564626,0.05333333333333334,6.325,9.181451612903224,0.14824218749999998,0.29772079772079774,1.0,1.7027863777089782,0.3116666666666667,1.5373263888888886,0.34108527131782945,,1.1313657407407407,0.07994186046511628,0.210727969348659,0.06887052341597796,0.43970588235294117,19.461538461538463,19.461538461538463,0.0625,0.010745837580699967
