, Tower - Palisades, Tower - Imperial, Cruiser - Gunboat, Galleon - Imperial, Battleship - Imperial, Frigate - Imperial, Culverin, Basilisk, Royal Cuirassier, Carabineer, Musketeer, Bombard, Halberdier, Sharpshooter, Hand Cannoneer, Elite Guard, Citizen, Female Citizen, Elizabeth I, Oliver Cromwell
 Tower - Palisades,1.0,0.04804804804804805,,0.6734006734006734,0.18674136321195142,1.7543859649122806,1.4534883720930232,0.01277139208173691,0.8264462809917356,2.1390374331550803,2.237762237762238,0.04081632653061224,1.4285714285714286,4.571428571428572,2.10989010989011,1.4693877551020411,61.53846153846154,61.53846153846154,0.3065134099616858,0.048484848484848485
 Tower - Imperial,20.8125,1.0,,14.015151515151516,3.8865546218487395,36.513157894736835,30.25072674418605,0.685185185185185,17.200413223140497,44.518716577540104,46.57342657342657,2.56734693877551,29.732142857142854,95.14285714285714,43.912087912087905,30.581632653061224,1280.7692307692307,1280.7692307692307,6.379310344827585,1.009090909090909
 Cruiser - Gunboat,,,,,,,,,,,,,,,,,,,,
 Galleon - Imperial,1.4849999999999999,0.07135135135135134,,1.0,0.8430252100840335,0.5210526315789474,8.633720930232558,0.5057471264367817,1.2272727272727273,7.219251336898395,4.153846153846153,2.0204081632653064,2.1214285714285714,11.314285714285713,5.221978021978022,1.8183673469387756,45.69230769230769,45.69230769230769,0.11379310344827585,0.018
 Battleship - Imperial,5.355,0.2572972972972973,,1.1862041467304627,1.0,9.394736842105264,103.77906976744187,1.1422924901185771,11.064049586776859,44.99999999999999,68.65384615384615,3.8267915690866507,34.77272727272727,170.0,68.0,38.25,617.8846153846154,617.8846153846154,4.1034482758620685,0.6490909090909092
 Frigate - Imperial,0.5700000000000001,0.027387387387387392,,1.9191919191919191,0.10644257703081232,1.0,11.046511627906977,0.09333333333333337,1.177685950413223,39.91596638655463,14.615384615384615,0.7285714285714286,3.7012987012987013,18.095238095238095,7.238095238095238,4.071428571428571,87.6923076923077,87.6923076923077,0.4367816091954023,0.06909090909090909
 Culverin,0.6880000000000001,0.033057057057057054,,0.11582491582491583,0.009635854341736694,0.09052631578947369,1.0,0.13449718130569194,0.028429752066115702,1.6862745098039214,6.61538461538461,0.6058708414872799,0.24571428571428572,65.52380952380952,0.8785315243415802,6.45,10.584615384615386,10.584615384615386,0.05272030651340996,0.00833939393939394
 Basilisk,78.3,1.4594594594594597,,1.977272727272727,0.8754325259515571,10.71428571428571,7.435100054083288,1.0,0.371900826446281,1.8277310924369747,2.5905707196029777,3.0371203599550056,0.9321428571428573,6.718146718146718,2.8681318681318686,1.1834415584415585,200.76923076923077,200.76923076923077,0.16666666666666666,0.0174
 Royal Cuirassier,1.21,0.05813813813813814,,0.8148148148148148,0.09038281979458451,0.8491228070175438,35.174418604651166,2.688888888888889,1.0,0.6057571964956195,9.307692307692308,8.642857142857142,0.4714285714285714,30.730158730158728,12.292063492063491,6.914285714285714,74.46153846153847,74.46153846153847,0.29670498084291186,0.046933333333333334
 Carabineer,0.46749999999999997,0.022462462462462463,,0.1385185185185185,0.022222222222222223,0.025052631578947365,0.5930232558139535,0.5471264367816092,1.6508264462809918,1.0,0.5666666666666667,1.4571428571428573,0.5724489795918368,3.561904761904762,1.6439560439560439,0.6690962099125365,21.576923076923077,21.576923076923077,0.19106002554278415,0.030222222222222223
