, Tower - Palisades, Tower - Imperial, Battleship - Royal, Frigate - Royal, Galleon - Royal, Bombard, Halberdier, Sharpshooter, Hand Cannoneer, Dragoon, Grenadier, Serpentine, Bronze Cannon, Imperial Cuirassier, Elite Guard, Partisan, Citizen, Female Citizen, Otto von Bismarck, Napoleon
 Tower - Palisades,1.0,0.04804804804804805,0.11049723756906078,0.9248982611912688,0.3787878787878788,0.04081632653061224,1.4285714285714286,4.571428571428572,2.10989010989011,0.9615384615384615,1.3986013986013988,0.008029709926728896,0.9920634920634921,0.5089058524173028,1.4693877551020411,2.769230769230769,61.53846153846154,61.53846153846154,0.20202020202020202,0.03365303718660609
 Tower - Imperial,20.8125,1.0,2.299723756906077,19.249445061043282,7.8835227272727275,2.56734693877551,29.732142857142854,95.14285714285714,43.912087912087905,20.01201923076923,29.108391608391607,0.43079393756900525,20.64732142857143,10.591603053435115,30.581632653061224,57.63461538461538,1280.7692307692307,1280.7692307692307,4.204545454545455,0.7004038364462394
 Battleship - Royal,9.049999999999999,0.43483483483483487,1.0,8.370329263780985,1.1276415470494419,6.634398496240602,64.64285714285714,307.82312925170066,120.265780730897,32.88517441860465,79.10839160839161,1.2407373132895991,118.82878151260505,11.513994910941475,74.58791208791209,2088.4615384615386,1044.230769230769,1044.230769230769,4.57070707070707,0.7613999663469628
 Frigate - Royal,1.0812000000000002,0.051949549549549556,0.1194696132596685,1.0,2.047727272727273,2.2483292978208227,7.722857142857143,36.775510204081634,14.36810631229236,25.596590909090903,18.902097902097903,0.30320447952506235,14.196428571428571,1.3755725190839694,8.910989010989011,249.5076923076923,166.33846153846153,166.33846153846153,0.5460606060606061,0.09096415951539627
 Galleon - Royal,2.64,0.12684684684684683,0.8868066298342541,0.48834628190899,1.0,4.310204081632653,3.771428571428572,20.114285714285714,9.283516483516484,5.76923076923077,4.615384615384616,0.7419451972297499,10.476190476190476,1.3435114503816794,3.2326530612244904,12.184615384615386,81.23076923076924,81.23076923076924,0.13333333333333333,0.02221100454316002
 Bombard,24.500000000000004,0.3895071542130366,0.15072956509420596,0.44477470491944526,0.23200757575757575,1.0,0.2916666666666667,2.5925925925925926,1.0370370370370372,0.2835648148148148,0.6543803418803419,0.19775330886441997,1.0863095238095237,0.06471586089906702,0.5416666666666667,18.846153846153843,62.82051282051282,62.82051282051282,0.027222222222222224,0.003643621134787212
 Halberdier,0.7000000000000001,0.033633633633633635,0.01546961325966851,0.12948575656677766,0.26515151515151514,3.4285714285714284,1.0,0.4444444444444444,2.4615384615384612,0.7852564102564102,0.5399012751953929,0.6744956338452273,2.7777777777777777,1.2595419847328244,0.4897959183673469,2.423076923076923,86.15384615384616,86.15384615384616,0.11313131313131312,0.01884570082449941
 Sharpshooter,0.21874999999999997,0.010510510510510511,0.003248618784530387,0.027192008879023306,0.04971590909090909,0.38571428571428573,2.25,1.0,5.538461538461538,0.12620192307692307,2.7534965034965033,0.09358626919602529,0.010416666666666666,0.01269083969465649,1.083673469387755,7.269230769230769,24.230769230769234,24.230769230769234,0.07954545454545454,0.013250883392226149
 Hand Cannoneer,0.4739583333333333,0.022772772772772776,0.008314917127071823,0.06959859415464299,0.10771780303030302,0.9642857142857142,0.40625,0.18055555555555555,1.0,0.27343749999999994,0.4971590909090909,0.21921108099969888,0.7769097222222222,0.037849872773536894,0.1683673469387755,1.3125,17.5,17.5,0.057449494949494945,0.009570082449941106
 Dragoon,1.04,0.04996996996996997,0.030408839779005527,0.03906770255271921,0.1733333333333333,3.526530612244898,1.273469387755102,7.923809523809525,3.6571428571428575,1.0,0.7878787878787881,0.801686239084613,1.396825396825397,1.8355507088331515,1.5393586005830904,4.8,48.0,48.0,0.2801346801346802,0.04666554489876045
